Date and Time:                Sun Jan 29 14:31:22.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	2737
288.53345	2654
288.55453	2665
288.57565	2645
288.59677	2631
288.61786	2677
288.63898	2695
288.6601	2657
288.68118	2674
288.7023	2671
288.72342	2687
288.74454	2659
288.76563	2660
288.78674	2672
288.80783	2637
288.82895	2627
288.85007	2640
288.87115	2671
288.89227	2680
288.91339	2697
288.93448	2676
288.9556	2663
288.97668	2676
288.9978	2662
289.01892	2649
289.04001	2633
289.06113	2674
289.08221	2666
289.10333	2650
289.12442	2665
289.14554	2658
289.16666	2645
289.18774	2635
289.20886	2646
289.22995	2633
289.25107	2649
289.27216	2621
289.29327	2632
289.31436	2633
289.33548	2631
289.35657	2645
289.37769	2624
289.39877	2633
289.41989	2644
289.44098	2647
289.46207	2653
289.48318	2662
289.50427	2650
289.52539	2664
289.54648	2645
289.5676	2653
289.58868	2654
289.60977	2656
289.63089	2671
289.65198	2666
289.6731	2663
289.69418	2656
289.71527	2650
289.73639	2659
289.75748	2621
289.77859	2640
289.79968	2639
289.82077	2650
289.84189	2643
289.86298	2622
289.88406	2611
289.90518	2639
289.92627	2625
289.94736	2601
289.96848	2579
289.98956	2573
290.01065	2572
290.03174	2566
290.05286	2574
290.07394	2569
290.09503	2585
290.11612	2562
290.13724	2559
290.15833	2592
290.17941	2546
290.2005	2563
290.22162	2580
290.24271	2551
290.26379	2568
290.28488	2544
290.30597	2539
290.32709	2530
290.34818	2558
290.36926	2540
290.39035	2546
290.41144	2539
290.43256	2534
290.45364	2521
290.47473	2537
290.49582	2515
290.51691	2508
290.53799	2509
290.55908	2505
290.5802	2511
290.60129	2540
290.62238	2550
290.64346	2542
290.66455	2547
290.68564	2556
290.70673	2523
290.72781	2508
290.7489	2529
290.76999	2526
290.79108	2548
290.81216	2534
290.83325	2552
290.85434	2521
290.87546	2528
290.89655	2540
290.91763	2540
290.93872	2540
