Date and Time:                Sun Jan 29 14:32:42.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.22
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	18745
288.53345	17892
288.55453	17927
288.57565	17860
288.59677	17919
288.61786	18176
288.63898	18111
288.6601	18105
288.68118	17932
288.7023	17913
288.72342	17879
288.74454	17633
288.76563	17543
288.78674	17630
288.80783	17727
288.82895	17757
288.85007	17725
288.87115	17767
288.89227	17837
288.91339	17839
288.93448	17747
288.9556	17823
288.97668	17767
288.9978	17772
289.01892	17773
289.04001	17672
289.06113	17667
289.08221	17716
289.10333	17707
289.12442	17747
289.14554	17870
289.16666	17955
289.18774	17988
289.20886	17932
289.22995	17839
289.25107	17909
289.27216	17985
289.29327	18018
289.31436	18107
289.33548	18115
289.35657	18010
289.37769	18055
289.39877	17934
289.41989	17964
289.44098	18059
289.46207	18205
289.48318	18234
289.50427	18257
289.52539	18154
289.54648	18095
289.5676	18162
289.58868	18132
289.60977	18241
289.63089	18292
289.65198	18310
289.6731	18289
289.69418	18184
289.71527	18163
289.73639	18299
289.75748	18297
289.77859	18325
289.79968	18442
289.82077	18417
289.84189	18408
289.86298	18395
289.88406	18393
289.90518	18346
289.92627	18264
289.94736	18035
289.96848	17987
289.98956	17884
290.01065	17897
290.03174	17824
290.05286	17901
290.07394	17904
290.09503	17870
290.11612	17798
290.13724	17830
290.15833	17831
290.17941	17855
290.2005	17917
290.22162	18033
290.24271	18226
290.26379	18343
290.28488	18321
290.30597	18279
290.32709	18283
290.34818	18190
290.36926	18083
290.39035	18135
290.41144	18126
290.43256	18257
290.45364	18119
290.47473	18094
290.49582	18059
290.51691	18057
290.53799	17978
290.55908	18048
290.5802	18220
290.60129	18335
290.62238	18358
290.64346	18199
290.66455	18280
290.68564	18400
290.70673	18474
290.72781	18599
290.7489	18709
290.76999	18838
290.79108	18856
290.81216	18715
290.83325	18806
290.85434	18767
290.87546	18669
290.89655	18806
290.91763	18903
290.93872	18933
