Date and Time:                Sun Jan 29 14:44:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              350
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



328.73563	308
328.75653	299
328.77744	308
328.79834	308
328.81924	308
328.84012	304
328.86102	307
328.88193	300
328.90283	308
328.92374	304
328.94461	303
328.96552	308
328.98642	304
329.00732	299
329.0282	313
329.0491	309
329.07001	302
329.09088	302
329.11179	306
329.13269	305
329.15359	298
329.17447	307
329.19537	309
329.21628	305
329.23715	307
329.25806	305
329.27896	299
329.29984	305
329.32074	300
329.34161	300
329.36252	297
329.38342	300
329.4043	308
329.4252	305
329.44611	310
329.46698	307
329.48788	305
329.50876	306
329.52966	305
329.55054	307
329.57144	303
329.59235	308
329.61322	301
329.63412	304
329.655	302
329.6759	301
329.69678	306
329.71768	308
329.73856	303
329.75946	303
329.78033	303
329.80124	295
329.82211	307
329.84302	304
329.86389	302
329.88477	309
329.90567	309
329.92654	307
329.94745	306
329.96832	299
329.98923	299
330.0101	304
330.03098	302
330.05188	302
330.07275	307
330.09366	302
330.11453	306
330.13541	301
330.15631	304
330.17719	303
330.19806	300
330.21896	303
330.23984	300
330.26074	303
330.28162	305
330.30249	302
330.32336	300
330.34427	302
330.36514	304
330.38602	305
330.40692	308
330.4278	297
330.44867	304
330.46954	311
330.49045	308
330.51132	303
330.5322	301
330.55307	302
330.57397	303
330.59485	305
330.61572	305
330.6366	304
330.6575	311
330.67838	296
330.69925	295
330.72012	299
330.741	301
330.76187	303
330.78278	309
330.80365	301
330.82452	300
330.8454	302
330.86627	303
330.88715	302
330.90802	310
330.92892	299
330.9498	301
330.97067	307
330.99155	300
331.01242	308
331.03329	304
331.05417	305
331.07504	306
331.09592	306
331.11679	302
331.13766	302
331.15854	299
331.17941	298
331.20029	305
331.22116	301
331.24203	305
331.26291	303
331.28378	303
331.30466	300
331.32553	300
331.34641	306
331.36728	302
331.38815	303
331.40903	302
331.4299	298
331.45078	297
331.47165	306
331.49252	307
331.5134	307
