Date and Time:                Sun Jan 29 14:44:47.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              350
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



328.73563	301
328.75653	299
328.77744	296
328.79834	304
328.81924	298
328.84012	296
328.86102	303
328.88193	295
328.90283	301
328.92374	305
328.94461	306
328.96552	305
328.98642	302
329.00732	294
329.0282	302
329.0491	297
329.07001	303
329.09088	302
329.11179	300
329.13269	301
329.15359	300
329.17447	304
329.19537	295
329.21628	298
329.23715	296
329.25806	295
329.27896	308
329.29984	301
329.32074	302
329.34161	301
329.36252	300
329.38342	301
329.4043	303
329.4252	300
329.44611	299
329.46698	302
329.48788	293
329.50876	303
329.52966	300
329.55054	300
329.57144	304
329.59235	299
329.61322	306
329.63412	302
329.655	304
329.6759	297
329.69678	304
329.71768	295
329.73856	304
329.75946	305
329.78033	302
329.80124	295
329.82211	307
329.84302	300
329.86389	308
329.88477	308
329.90567	298
329.92654	303
329.94745	301
329.96832	307
329.98923	304
330.0101	305
330.03098	306
330.05188	302
330.07275	298
330.09366	299
330.11453	306
330.13541	299
330.15631	306
330.17719	301
330.19806	297
330.21896	302
330.23984	303
330.26074	297
330.28162	301
330.30249	300
330.32336	304
330.34427	302
330.36514	305
330.38602	307
330.40692	304
330.4278	300
330.44867	303
330.46954	302
330.49045	301
330.51132	302
330.5322	304
330.55307	303
330.57397	300
330.59485	300
330.61572	303
330.6366	302
330.6575	297
330.67838	298
330.69925	302
330.72012	301
330.741	295
330.76187	301
330.78278	302
330.80365	299
330.82452	299
330.8454	302
330.86627	303
330.88715	296
330.90802	300
330.92892	301
330.9498	299
330.97067	295
330.99155	300
331.01242	292
331.03329	303
331.05417	299
331.07504	300
331.09592	303
331.11679	296
331.13766	303
331.15854	296
331.17941	306
331.20029	300
331.22116	304
331.24203	300
331.26291	299
331.28378	300
331.30466	303
331.32553	302
331.34641	301
331.36728	308
331.38815	304
331.40903	299
331.4299	301
331.45078	304
331.47165	294
331.49252	301
