Date and Time:                Sun Jan 29 14:52:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	40871
368.99429	39781
369.01495	40289
369.03564	40349
369.0563	40363
369.077	41090
369.09766	40967
369.11832	41011
369.13901	40858
369.15967	40832
369.18033	40839
369.20102	40671
369.22168	40480
369.24237	40973
369.26303	40980
369.28369	41207
369.30438	41231
369.32504	41453
369.3457	41535
369.36636	41529
369.38705	41717
369.40771	41885
369.42838	41738
369.44907	42043
369.46973	41832
369.49039	41869
369.51105	42097
369.53174	41828
369.5524	42005
369.57306	42298
369.59372	42422
369.61441	42671
369.63507	42800
369.65573	42816
369.67639	42609
369.69705	42971
369.71774	42996
369.7384	43162
369.75906	43319
369.77972	43729
369.80038	43384
369.82104	43542
369.84174	43320
369.8624	43313
369.88306	43290
369.90372	43427
369.92438	43366
369.94504	43389
369.9657	43353
369.98636	43322
370.00702	43079
370.02771	43022
370.04837	42728
370.06903	43154
370.08969	43146
370.11035	42906
370.13101	42530
370.15167	42361
370.17233	42495
370.19299	42809
370.21365	42678
370.23431	42396
370.25497	42361
370.27563	42453
370.2963	42082
370.31696	41912
370.33762	41817
370.35828	41412
370.37894	41005
370.3996	40680
370.42026	40482
370.44092	40178
370.46155	40024
370.48221	39637
370.50287	39574
370.52353	39355
370.54419	39117
370.56485	38989
370.58551	38552
370.60617	38535
370.62683	38451
370.64746	38185
370.66812	38619
370.68878	38582
370.70944	38658
370.7301	38369
370.75076	38170
370.77139	37953
370.79205	37245
370.81271	37023
370.83337	37214
370.85403	36873
370.87466	36684
370.89532	36484
370.91599	36134
370.93665	36059
370.95728	35684
370.97794	35697
370.9986	35708
371.01926	35817
371.03989	35546
371.06055	35213
371.08121	35032
371.10184	34969
371.1225	35381
371.14316	35375
371.16379	35468
371.18445	35326
371.20511	35216
371.22574	34802
371.2464	34818
371.26706	34677
371.28769	34504
371.30835	34622
371.32901	34374
371.34964	34398
371.3703	34320
