Date and Time:                Sun Jan 29 14:55:40.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	310
368.99429	305
369.01495	304
369.03564	306
369.0563	305
369.077	306
369.09766	312
369.11832	307
369.13901	304
369.15967	308
369.18033	308
369.20102	307
369.22168	302
369.24237	307
369.26303	309
369.28369	304
369.30438	302
369.32504	302
369.3457	305
369.36636	312
369.38705	306
369.40771	306
369.42838	305
369.44907	305
369.46973	307
369.49039	309
369.51105	306
369.53174	304
369.5524	305
369.57306	303
369.59372	302
369.61441	308
369.63507	306
369.65573	298
369.67639	309
369.69705	302
369.71774	306
369.7384	302
369.75906	305
369.77972	299
369.80038	307
369.82104	310
369.84174	308
369.8624	307
369.88306	311
369.90372	310
369.92438	304
369.94504	304
369.9657	308
369.98636	310
370.00702	304
370.02771	310
370.04837	308
370.06903	303
370.08969	300
370.11035	306
370.13101	308
370.15167	309
370.17233	309
370.19299	302
370.21365	307
370.23431	302
370.25497	305
370.27563	300
370.2963	303
370.31696	304
370.33762	305
370.35828	305
370.37894	303
370.3996	306
370.42026	307
370.44092	306
370.46155	305
370.48221	302
370.50287	304
370.52353	303
370.54419	309
370.56485	306
370.58551	306
370.60617	305
370.62683	306
370.64746	308
370.66812	299
370.68878	304
370.70944	306
370.7301	303
370.75076	303
370.77139	309
370.79205	312
370.81271	305
370.83337	311
370.85403	302
370.87466	303
370.89532	306
370.91599	302
370.93665	304
370.95728	307
370.97794	304
370.9986	299
371.01926	306
371.03989	307
371.06055	307
371.08121	307
371.10184	305
371.1225	303
371.14316	304
371.16379	301
371.18445	309
371.20511	308
371.22574	305
371.2464	308
371.26706	304
371.28769	302
371.30835	304
371.32901	307
371.34964	301
371.3703	306
371.39093	304
371.41159	310
371.43225	308
371.45288	306
371.47354	306
371.49417	306
371.51483	309
371.53546	301
371.55612	310
371.57675	309
371.59741	309
371.61804	303
371.6387	303
371.65933	311
371.67999	302
371.70062	307
371.72128	301
