Date and Time:                Tue Apr 26 17:36:46.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         125
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	1578
258.37558	1504
258.39685	1488
258.41809	1512
258.43936	1538
258.4606	1512
258.48187	1528
258.50311	1534
258.52438	1542
258.54565	1559
258.56689	1579
258.58817	1614
258.60941	1594
258.63068	1624
258.65192	1608
258.67319	1644
258.69443	1657
258.7157	1674
258.73694	1739
258.75821	1686
258.77945	1706
258.80072	1706
258.82196	1748
258.84323	1727
258.86447	1747
258.88574	1773
258.90698	1771
258.92825	1737
258.94949	1758
258.97076	1762
258.992	1755
259.01324	1819
259.03452	1803
259.05576	1814
259.07703	1802
259.09827	1788
259.11954	1744
259.14078	1759
259.16202	1746
259.18329	1748
259.20453	1682
259.22577	1691
259.24704	1652
259.26828	1660
259.28955	1625
259.31079	1603
259.33203	1573
259.3533	1524
259.37454	1523
259.39578	1487
259.41705	1472
259.43829	1459
259.45953	1440
259.4808	1407
259.50204	1399
259.52328	1395
259.54453	1373
259.5658	1377
259.58704	1343
259.60828	1313
259.62952	1355
259.65079	1299
259.67203	1326
259.69327	1261
259.71451	1255
259.73578	1234
259.75702	1243
259.77826	1232
259.7995	1256
259.82077	1213
259.84201	1217
259.86325	1205
259.88449	1268
259.90573	1219
259.92697	1232
259.94824	1247
259.96948	1242
259.99072	1219
260.01196	1247
260.0332	1238
260.05444	1235
260.07571	1258
260.09695	1238
260.11819	1287
260.13943	1321
260.16068	1291
260.18192	1300
260.20316	1320
260.2244	1344
260.24564	1369
260.26688	1368
260.28815	1363
260.30939	1433
260.33063	1440
260.35187	1454
260.37311	1483
260.39435	1522
260.41559	1533
260.43683	1558
260.45807	1580
260.47931	1610
260.50055	1611
260.52179	1668
260.54303	1666
260.56427	1662
260.58551	1717
260.60675	1707
260.62799	1733
260.64923	1758
260.67047	1816
260.69171	1784
260.71295	1799
260.73419	1829
260.75543	1786
260.77667	1805
260.79791	1814
260.81912	1782
