Date and Time:                Tue Apr 26 17:04:32.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



298.5668	293
298.58786	300
298.60892	303
298.62997	298
298.65103	298
298.67209	300
298.69315	304
298.7142	303
298.73526	293
298.75632	302
298.77737	303
298.79843	301
298.81949	303
298.84055	301
298.8616	299
298.88266	303
298.90372	304
298.92477	298
298.9458	300
298.96686	298
298.98792	302
299.00897	301
299.03003	305
299.05109	299
299.07214	303
299.0932	304
299.11426	307
299.13531	296
299.15634	305
299.1774	297
299.19846	293
299.21951	298
299.24057	298
299.26163	303
299.28268	300
299.30371	298
299.32477	301
299.34583	293
299.36688	301
299.38794	298
299.40897	304
299.43002	303
299.45108	299
299.47214	296
299.49319	304
299.51422	303
299.53528	304
299.55634	300
299.57739	304
299.59842	302
299.61948	303
299.64053	300
299.66159	300
299.68262	300
299.70367	300
299.72473	295
299.74576	300
299.76682	296
299.78787	301
299.8089	288
299.82996	301
299.85101	307
299.87204	302
299.8931	299
299.91415	300
299.93518	301
299.95624	306
299.97729	298
299.99832	304
300.01938	306
300.04041	297
300.06146	300
300.08252	306
300.10355	302
300.1246	312
300.14563	300
300.16669	302
300.18771	298
300.20877	296
300.22983	298
300.25085	302
300.27191	301
300.29294	302
300.314	304
300.33502	294
300.35608	298
300.37711	296
300.39816	299
300.41919	300
300.44025	299
300.46127	303
300.48233	300
300.50336	299
300.52441	298
300.54544	309
300.56647	306
300.58752	301
300.60855	296
300.62961	304
300.65063	297
300.67169	299
300.69272	305
300.71375	310
300.7348	298
300.75583	301
300.77686	302
300.79791	302
300.81894	309
300.84	298
300.86102	299
300.88205	298
300.90311	304
300.92413	295
300.94516	306
300.96622	301
300.98724	301
301.00827	300
301.0293	294
301.05035	303
301.07138	300
301.09241	302
301.11346	295
301.13449	302
301.15552	298
301.17654	304
301.1976	292
301.21863	300
301.23965	304
301.26068	300
301.28174	310
301.30276	302
301.32379	299
301.34482	302
