Date and Time:                Tue Apr 26 17:02:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



298.5668	7688
298.58786	7359
298.60892	7417
298.62997	7412
298.65103	7496
298.67209	7496
298.69315	7400
298.7142	7405
298.73526	7467
298.75632	7539
298.77737	7511
298.79843	7507
298.81949	7527
298.84055	7544
298.8616	7586
298.88266	7528
298.90372	7555
298.92477	7702
298.9458	7790
298.96686	7706
298.98792	7691
299.00897	7694
299.03003	7755
299.05109	7702
299.07214	7714
299.0932	7739
299.11426	7783
299.13531	7818
299.15634	7824
299.1774	7867
299.19846	8008
299.21951	8047
299.24057	8143
299.26163	8174
299.28268	8245
299.30371	8203
299.32477	8236
299.34583	8296
299.36688	8396
299.38794	8468
299.40897	8435
299.43002	8494
299.45108	8680
299.47214	8708
299.49319	8758
299.51422	8802
299.53528	8799
299.55634	8832
299.57739	8882
299.59842	8983
299.61948	9100
299.64053	9166
299.66159	9262
299.68262	9226
299.70367	9249
299.72473	9296
299.74576	9303
299.76682	9392
299.78787	9470
299.8089	9468
299.82996	9424
299.85101	9446
299.87204	9517
299.8931	9541
299.91415	9557
299.93518	9546
299.95624	9607
299.97729	9565
299.99832	9560
300.01938	9544
300.04041	9569
300.06146	9560
300.08252	9557
300.10355	9594
300.1246	9576
300.14563	9614
300.16669	9518
300.18771	9542
300.20877	9518
300.22983	9487
300.25085	9426
300.27191	9400
300.29294	9389
300.314	9311
300.33502	9323
300.35608	9306
300.37711	9387
300.39816	9285
300.41919	9269
300.44025	9279
300.46127	9227
300.48233	9235
300.50336	9243
300.52441	9305
300.54544	9329
300.56647	9339
300.58752	9290
300.60855	9300
300.62961	9275
300.65063	9234
300.67169	9240
300.69272	9259
300.71375	9269
300.7348	9239
300.75583	9153
300.77686	9070
300.79791	9124
300.81894	9141
300.84	9081
300.86102	9138
300.88205	9179
300.90311	9289
300.92413	9202
300.94516	9136
300.96622	9057
300.98724	9115
301.00827	9116
