Date and Time:                Tue Apr 26 16:57:23.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



298.5668	11050
298.58786	10626
298.60892	10733
298.62997	10849
298.65103	10941
298.67209	11014
298.69315	10957
298.7142	11029
298.73526	11147
298.75632	11280
298.77737	11271
298.79843	11240
298.81949	11356
298.84055	11390
298.8616	11456
298.88266	11415
298.90372	11514
298.92477	11694
298.9458	11787
298.96686	11712
298.98792	11620
299.00897	11576
299.03003	11704
299.05109	11638
299.07214	11619
299.0932	11585
299.11426	11626
299.13531	11600
299.15634	11563
299.1774	11659
299.19846	11688
299.21951	11799
299.24057	11780
299.26163	11800
299.28268	11798
299.30371	11723
299.32477	11543
299.34583	11602
299.36688	11727
299.38794	11702
299.40897	11632
299.43002	11655
299.45108	11737
299.47214	11763
299.49319	11654
299.51422	11689
299.53528	11618
299.55634	11552
299.57739	11591
299.59842	11572
299.61948	11697
299.64053	11703
299.66159	11667
299.68262	11606
299.70367	11597
299.72473	11474
299.74576	11494
299.76682	11501
299.78787	11531
299.8089	11497
299.82996	11430
299.85101	11386
299.87204	11442
299.8931	11392
299.91415	11330
299.93518	11335
299.95624	11331
299.97729	11247
299.99832	11233
300.01938	11098
300.04041	11182
300.06146	11134
300.08252	11049
300.10355	11080
300.1246	11152
300.14563	11115
300.16669	11087
300.18771	11047
300.20877	10956
300.22983	10929
300.25085	10859
300.27191	10842
300.29294	10788
300.314	10725
300.33502	10708
300.35608	10731
300.37711	10743
300.39816	10684
300.41919	10617
300.44025	10611
300.46127	10626
300.48233	10573
300.50336	10628
300.52441	10635
300.54544	10692
300.56647	10675
300.58752	10638
300.60855	10608
300.62961	10534
300.65063	10547
300.67169	10528
300.69272	10478
300.71375	10441
300.7348	10402
300.75583	10301
300.77686	10266
300.79791	10230
300.81894	10212
300.84	10159
300.86102	10141
300.88205	10212
300.90311	10231
300.92413	10111
300.94516	10095
300.96622	10040
300.98724	10008
301.00827	9972
