Date and Time:                Tue Apr 26 16:31:20.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              360
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



338.79376	22843
338.81461	21992
338.83545	22101
338.85629	22302
338.87714	22557
338.89798	22449
338.91882	22357
338.93967	22364
338.96051	22651
338.98132	22736
339.00217	22800
339.02301	22767
339.04385	22925
339.0647	23028
339.08554	22962
339.10638	22842
339.12723	22907
339.14807	23299
339.16891	23514
339.18976	23351
339.2106	23184
339.23145	23151
339.25226	23316
339.2731	23241
339.29395	23093
339.31479	23068
339.33563	23054
339.35648	23092
339.37732	23041
339.39813	23165
339.41898	23347
339.43982	23599
339.46066	23659
339.48151	23664
339.50232	23682
339.52316	23416
339.54401	23376
339.56485	23394
339.58566	23695
339.60651	23710
339.62735	23574
339.64819	23814
339.66901	24041
339.68985	24077
339.71069	24089
339.73154	24019
339.75235	23881
339.77319	23875
339.79404	23878
339.81485	23982
339.83569	24247
339.85654	24417
339.87735	24401
339.89819	24286
339.91904	24192
339.93985	24061
339.96069	24119
339.98154	24188
340.00235	24189
340.02319	24269
340.04404	24157
340.06485	24127
340.08569	24008
340.10651	24042
340.12735	23966
340.14816	24009
340.16901	23968
340.18985	23935
340.21066	23822
340.23151	23793
340.25232	23852
340.27316	23770
340.29398	23651
340.31482	23742
340.33563	23748
340.35648	23750
340.37729	23636
340.39813	23524
340.41895	23385
340.43979	23354
340.4606	23106
340.48145	22959
340.50226	22905
340.5231	22813
340.54391	22816
340.56476	22782
340.58557	22864
340.60638	22760
340.62723	22786
340.64804	22620
340.66888	22658
340.6897	22659
340.71051	22761
340.73135	22839
340.75217	23019
340.77301	22981
340.79382	22832
340.81464	22815
340.83548	22864
340.85629	22894
340.87711	22826
340.89795	22944
340.91876	22857
340.93958	22795
340.96042	22654
340.98123	22544
341.00204	22507
341.02286	22478
341.0437	22472
341.06451	22683
341.08533	22945
341.10617	23112
341.12698	23000
341.1478	22791
341.16861	22770
341.18945	22841
341.21027	22981
