Date and Time:                Tue Apr 26 16:41:00.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              360
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



338.79376	25497
338.81461	24523
338.83545	24697
338.85629	24806
338.87714	25168
338.89798	25039
338.91882	24889
338.93967	24927
338.96051	25279
338.98132	25416
339.00217	25389
339.02301	25410
339.04385	25439
339.0647	25523
339.08554	25507
339.10638	25258
339.12723	25409
339.14807	25824
339.16891	25973
339.18976	25766
339.2106	25568
339.23145	25481
339.25226	25642
339.2731	25573
339.29395	25312
339.31479	25308
339.33563	25187
339.35648	25157
339.37732	25147
339.39813	25218
339.41898	25481
339.43982	25617
339.46066	25670
339.48151	25563
339.50232	25489
339.52316	25404
339.54401	25194
339.56485	25211
339.58566	25345
339.60651	25403
339.62735	25342
339.64819	25440
339.66901	25623
339.68985	25719
339.71069	25513
339.73154	25460
339.75235	25354
339.77319	25271
339.79404	25318
339.81485	25395
339.83569	25598
339.85654	25750
339.87735	25668
339.89819	25630
339.91904	25430
339.93985	25343
339.96069	25352
339.98154	25333
340.00235	25413
340.02319	25435
340.04404	25212
340.06485	25083
340.08569	25248
340.10651	25132
340.12735	25039
340.14816	25120
340.16901	25004
340.18985	24889
340.21066	24870
340.23151	24778
340.25232	24881
340.27316	24790
340.29398	24700
340.31482	24584
340.33563	24782
340.35648	24774
340.37729	24591
340.39813	24583
340.41895	24408
340.43979	24334
340.4606	24200
340.48145	24138
340.50226	24029
340.5231	23990
340.54391	23930
340.56476	23954
340.58557	24065
340.60638	24007
340.62723	23952
340.64804	23814
340.66888	23741
340.6897	23815
340.71051	23956
340.73135	24110
340.75217	24245
340.77301	24342
340.79382	24254
340.81464	24176
340.83548	24242
340.85629	24267
340.87711	24259
340.89795	24326
340.91876	24445
340.93958	24258
340.96042	24158
340.98123	24111
341.00204	24086
341.02286	23981
341.0437	24015
341.06451	24153
341.08533	24544
341.10617	24757
341.12698	24639
341.1478	24422
341.16861	24417
341.18945	24583
341.21027	24643
