Date and Time:                Tue Apr 26 18:26:02.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.025
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	304
368.99429	302
369.01495	300
369.03564	296
369.0563	300
369.077	298
369.09766	306
369.11832	294
369.13901	302
369.15967	307
369.18033	298
369.20102	305
369.22168	299
369.24237	303
369.26303	306
369.28369	309
369.30438	297
369.32504	299
369.3457	303
369.36636	300
369.38705	303
369.40771	307
369.42838	304
369.44907	300
369.46973	299
369.49039	299
369.51105	305
369.53174	305
369.5524	300
369.57306	303
369.59372	303
369.61441	302
369.63507	300
369.65573	306
369.67639	299
369.69705	302
369.71774	303
369.7384	300
369.75906	301
369.77972	312
369.80038	305
369.82104	296
369.84174	304
369.8624	305
369.88306	299
369.90372	307
369.92438	304
369.94504	300
369.9657	309
369.98636	298
370.00702	305
370.02771	299
370.04837	301
370.06903	304
370.08969	304
370.11035	300
370.13101	301
370.15167	297
370.17233	305
370.19299	302
370.21365	299
370.23431	302
370.25497	301
370.27563	305
370.2963	301
370.31696	303
370.33762	304
370.35828	299
370.37894	303
370.3996	298
370.42026	305
370.44092	301
370.46155	301
370.48221	303
370.50287	305
370.52353	302
370.54419	305
370.56485	303
370.58551	305
370.60617	297
370.62683	302
370.64746	299
370.66812	300
370.68878	308
370.70944	307
370.7301	295
370.75076	304
370.77139	301
370.79205	304
370.81271	299
370.83337	294
370.85403	298
370.87466	305
370.89532	300
370.91599	304
370.93665	300
370.95728	302
370.97794	304
370.9986	303
371.01926	308
371.03989	298
371.06055	308
371.08121	299
371.10184	303
371.1225	300
371.14316	300
371.16379	306
371.18445	304
371.20511	303
371.22574	301
371.2464	299
371.26706	300
371.28769	303
371.30835	309
371.32901	300
371.34964	304
371.3703	302
371.39093	303
371.41159	297
371.43225	303
371.45288	298
371.47354	299
371.49417	304
371.51483	302
371.53546	300
371.55612	306
371.57675	304
371.59741	300
371.61804	309
371.6387	303
371.65933	301
371.67999	302
371.70062	298
