Date and Time:                Tue Apr 26 18:08:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         250
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	13494
368.99429	12684
369.01495	12539
369.03564	12448
369.0563	12411
369.077	12147
369.09766	11727
369.11832	11472
369.13901	11293
369.15967	11106
369.18033	10890
369.20102	10742
369.22168	10609
369.24237	10583
369.26303	10414
369.28369	10294
369.30438	10162
369.32504	10154
369.3457	10224
369.36636	10137
369.38705	9909
369.40771	9785
369.42838	9659
369.44907	9428
369.46973	9186
369.49039	9101
369.51105	9095
369.53174	8968
369.5524	8719
369.57306	8580
369.59372	8482
369.61441	8427
369.63507	8294
369.65573	8141
369.67639	7979
369.69705	7832
369.71774	7757
369.7384	7742
369.75906	7676
369.77972	7601
369.80038	7363
369.82104	7307
369.84174	7302
369.8624	7371
369.88306	7447
369.90372	7054
369.92438	6958
369.94504	6877
369.9657	6901
369.98636	6803
370.00702	6723
370.02771	6638
370.04837	6539
370.06903	6464
370.08969	6477
370.11035	6381
370.13101	6239
370.15167	6263
370.17233	6116
370.19299	5996
370.21365	5970
370.23431	5830
370.25497	5868
370.27563	5692
370.2963	5644
370.31696	5582
370.33762	5590
370.35828	5472
370.37894	5525
370.3996	5464
370.42026	5477
370.44092	5387
370.46155	5313
370.48221	5210
370.50287	5213
370.52353	5160
370.54419	5008
370.56485	4870
370.58551	4876
370.60617	4856
370.62683	4779
370.64746	4718
370.66812	4661
370.68878	4603
370.70944	4487
370.7301	4427
370.75076	4397
370.77139	4366
370.79205	4298
370.81271	4328
370.83337	4358
370.85403	4349
370.87466	4419
370.89532	4465
370.91599	4440
370.93665	4422
370.95728	4507
370.97794	4425
370.9986	4451
371.01926	4415
371.03989	4415
371.06055	4375
371.08121	4323
371.10184	4116
371.1225	4043
371.14316	3981
371.16379	3915
371.18445	3850
371.20511	3902
371.22574	3878
371.2464	3748
371.26706	3788
371.28769	3765
371.30835	3718
371.32901	3749
371.34964	3742
371.3703	3690
