Date and Time:                Tue Apr 26 18:07:01.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.025
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	17591
368.99429	16856
369.01495	16957
369.03564	17025
369.0563	17158
369.077	17080
369.09766	16985
369.11832	16974
369.13901	17062
369.15967	17181
369.18033	17117
369.20102	17065
369.22168	17158
369.24237	17140
369.26303	17057
369.28369	16797
369.30438	16950
369.32504	17131
369.3457	17251
369.36636	17085
369.38705	16929
369.40771	16865
369.42838	16936
369.44907	16871
369.46973	16756
369.49039	16692
369.51105	16684
369.53174	16579
369.5524	16619
369.57306	16589
369.59372	16744
369.61441	16889
369.63507	16895
369.65573	16823
369.67639	16875
369.69705	16569
369.71774	16578
369.7384	16632
369.75906	16716
369.77972	16715
369.80038	16728
369.82104	16788
369.84174	16957
369.8624	16998
369.88306	16933
369.90372	16836
369.92438	16837
369.94504	16746
369.9657	16812
369.98636	16853
370.00702	17071
370.02771	17134
370.04837	17151
370.06903	17094
370.08969	17023
370.11035	16996
370.13101	16921
370.15167	16998
370.17233	17095
370.19299	17090
370.21365	16999
370.23431	16998
370.25497	17034
370.27563	16991
370.2963	17003
370.31696	17068
370.33762	17027
370.35828	17000
370.37894	16982
370.3996	17001
370.42026	17088
370.44092	17054
370.46155	16962
370.48221	17004
370.50287	17124
370.52353	17124
370.54419	17031
370.56485	16987
370.58551	16943
370.60617	16953
370.62683	16843
370.64746	16764
370.66812	16754
370.68878	16638
370.70944	16696
370.7301	16745
370.75076	16840
370.77139	16821
370.79205	16762
370.81271	16705
370.83337	16755
370.85403	16747
370.87466	16815
370.89532	16899
370.91599	17054
370.93665	17020
370.95728	16968
370.97794	17051
370.9986	17054
371.01926	17070
371.03989	17048
371.06055	17100
371.08121	17116
371.10184	17113
371.1225	16992
371.14316	16928
371.16379	16894
371.18445	16861
371.20511	16934
371.22574	17007
371.2464	17217
371.26706	17382
371.28769	17283
371.30835	17190
371.32901	17129
371.34964	17252
371.3703	17266
