Date and Time:                Tue Apr 26 17:27:54.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         125
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	1919
258.37558	1857
258.39685	1866
258.41809	1899
258.43936	1919
258.4606	1912
258.48187	1932
258.50311	1944
258.52438	1940
258.54565	1957
258.56689	1989
258.58817	1976
258.60941	1972
258.63068	1981
258.65192	1960
258.67319	1950
258.69443	1961
258.7157	1933
258.73694	1990
258.75821	1926
258.77945	1876
258.80072	1851
258.82196	1860
258.84323	1826
258.86447	1782
258.88574	1775
258.90698	1719
258.92825	1686
258.94949	1664
258.97076	1663
258.992	1625
259.01324	1614
259.03452	1610
259.05576	1591
259.07703	1572
259.09827	1559
259.11954	1506
259.14078	1524
259.16202	1505
259.18329	1484
259.20453	1450
259.22577	1447
259.24704	1417
259.26828	1454
259.28955	1437
259.31079	1412
259.33203	1398
259.3533	1385
259.37454	1409
259.39578	1383
259.41705	1386
259.43829	1397
259.45953	1398
259.4808	1392
259.50204	1386
259.52328	1407
259.54453	1397
259.5658	1422
259.58704	1404
259.60828	1412
259.62952	1437
259.65079	1410
259.67203	1474
259.69327	1439
259.71451	1469
259.73578	1460
259.75702	1496
259.77826	1518
259.7995	1548
259.82077	1542
259.84201	1559
259.86325	1580
259.88449	1637
259.90573	1628
259.92697	1672
259.94824	1690
259.96948	1722
259.99072	1712
260.01196	1756
260.0332	1790
260.05444	1781
260.07571	1845
260.09695	1850
260.11819	1871
260.13943	1896
260.16068	1936
260.18192	1963
260.20316	2010
260.2244	2012
260.24564	2033
260.26688	2059
260.28815	2057
260.30939	2072
260.33063	2112
260.35187	2118
260.37311	2120
260.39435	2162
260.41559	2139
260.43683	2162
260.45807	2126
260.47931	2121
260.50055	2111
260.52179	2126
260.54303	2114
260.56427	2066
260.58551	2078
260.60675	2051
260.62799	2065
260.64923	2066
260.67047	2086
260.69171	2041
260.71295	2063
260.73419	2037
260.75543	2035
260.77667	2014
260.79791	2047
260.81912	2023
