Date and Time:                Tue Apr 26 17:34:35.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         125
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              280
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



258.35431	1577
258.37558	1522
258.39685	1495
258.41809	1502
258.43936	1544
258.4606	1528
258.48187	1532
258.50311	1526
258.52438	1544
258.54565	1566
258.56689	1588
258.58817	1604
258.60941	1615
258.63068	1619
258.65192	1622
258.67319	1622
258.69443	1650
258.7157	1669
258.73694	1727
258.75821	1712
258.77945	1707
258.80072	1697
258.82196	1753
258.84323	1753
258.86447	1737
258.88574	1780
258.90698	1775
258.92825	1756
258.94949	1756
258.97076	1804
258.992	1778
259.01324	1789
259.03452	1795
259.05576	1812
259.07703	1786
259.09827	1790
259.11954	1768
259.14078	1737
259.16202	1745
259.18329	1768
259.20453	1683
259.22577	1694
259.24704	1671
259.26828	1664
259.28955	1634
259.31079	1610
259.33203	1563
259.3533	1524
259.37454	1542
259.39578	1506
259.41705	1501
259.43829	1469
259.45953	1437
259.4808	1442
259.50204	1400
259.52328	1395
259.54453	1373
259.5658	1367
259.58704	1353
259.60828	1304
259.62952	1322
259.65079	1278
259.67203	1342
259.69327	1264
259.71451	1258
259.73578	1233
259.75702	1246
259.77826	1247
259.7995	1264
259.82077	1247
259.84201	1228
259.86325	1225
259.88449	1267
259.90573	1220
259.92697	1259
259.94824	1252
259.96948	1243
259.99072	1221
260.01196	1239
260.0332	1247
260.05444	1226
260.07571	1272
260.09695	1243
260.11819	1276
260.13943	1274
260.16068	1298
260.18192	1314
260.20316	1306
260.2244	1331
260.24564	1340
260.26688	1366
260.28815	1394
260.30939	1423
260.33063	1445
260.35187	1447
260.37311	1472
260.39435	1534
260.41559	1539
260.43683	1571
260.45807	1582
260.47931	1601
260.50055	1599
260.52179	1653
260.54303	1698
260.56427	1676
260.58551	1706
260.60675	1717
260.62799	1738
260.64923	1765
260.67047	1816
260.69171	1793
260.71295	1805
260.73419	1815
260.75543	1790
260.77667	1807
260.79791	1810
260.81912	1806
