Date and Time:                Tue Apr 26 17:05:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



298.5668	385
298.58786	385
298.60892	375
298.62997	378
298.65103	381
298.67209	378
298.69315	374
298.7142	378
298.73526	371
298.75632	380
298.77737	377
298.79843	379
298.81949	377
298.84055	383
298.8616	370
298.88266	375
298.90372	385
298.92477	371
298.9458	386
298.96686	375
298.98792	378
299.00897	372
299.03003	381
299.05109	370
299.07214	377
299.0932	382
299.11426	376
299.13531	372
299.15634	370
299.1774	376
299.19846	370
299.21951	370
299.24057	379
299.26163	373
299.28268	376
299.30371	379
299.32477	377
299.34583	383
299.36688	380
299.38794	380
299.40897	373
299.43002	373
299.45108	373
299.47214	373
299.49319	385
299.51422	375
299.53528	373
299.55634	372
299.57739	388
299.59842	374
299.61948	372
299.64053	371
299.66159	375
299.68262	374
299.70367	379
299.72473	378
299.74576	369
299.76682	386
299.78787	377
299.8089	372
299.82996	378
299.85101	357
299.87204	389
299.8931	373
299.91415	371
299.93518	369
299.95624	378
299.97729	378
299.99832	383
300.01938	372
300.04041	368
300.06146	374
300.08252	384
300.10355	374
300.1246	364
300.14563	379
300.16669	377
300.18771	368
300.20877	367
300.22983	375
300.25085	372
300.27191	375
300.29294	372
300.314	364
300.33502	363
300.35608	370
300.37711	372
300.39816	373
300.41919	371
300.44025	379
300.46127	375
300.48233	367
300.50336	373
300.52441	368
300.54544	364
300.56647	368
300.58752	371
300.60855	370
300.62961	363
300.65063	364
300.67169	363
300.69272	361
300.71375	367
300.7348	376
300.75583	362
300.77686	361
300.79791	363
300.81894	363
300.84	364
300.86102	376
300.88205	364
300.90311	365
300.92413	363
300.94516	368
300.96622	367
300.98724	367
301.00827	367
301.0293	375
301.05035	357
301.07138	366
301.09241	361
301.11346	365
301.13449	365
301.15552	369
301.17654	364
301.1976	373
301.21863	362
301.23965	355
301.26068	357
301.28174	375
301.30276	368
301.32379	361
301.34482	366
301.36584	364
