Date and Time:                Tue Apr 26 16:54:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              320
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



298.5668	8700
298.58786	8298
298.60892	8433
298.62997	8452
298.65103	8507
298.67209	8505
298.69315	8468
298.7142	8542
298.73526	8609
298.75632	8692
298.77737	8663
298.79843	8676
298.81949	8708
298.84055	8800
298.8616	8797
298.88266	8800
298.90372	8860
298.92477	9075
298.9458	9180
298.96686	9158
298.98792	9084
299.00897	9094
299.03003	9165
299.05109	9212
299.07214	9178
299.0932	9165
299.11426	9263
299.13531	9292
299.15634	9322
299.1774	9409
299.19846	9547
299.21951	9657
299.24057	9715
299.26163	9774
299.28268	9817
299.30371	9749
299.32477	9758
299.34583	9824
299.36688	9956
299.38794	10069
299.40897	10050
299.43002	10136
299.45108	10216
299.47214	10373
299.49319	10335
299.51422	10342
299.53528	10302
299.55634	10349
299.57739	10399
299.59842	10475
299.61948	10585
299.64053	10701
299.66159	10677
299.68262	10694
299.70367	10645
299.72473	10681
299.74576	10626
299.76682	10662
299.78787	10757
299.8089	10787
299.82996	10762
299.85101	10660
299.87204	10739
299.8931	10710
299.91415	10672
299.93518	10646
299.95624	10696
299.97729	10687
299.99832	10639
300.01938	10579
300.04041	10550
300.06146	10562
300.08252	10519
300.10355	10535
300.1246	10501
300.14563	10580
300.16669	10478
300.18771	10435
300.20877	10393
300.22983	10341
300.25085	10248
300.27191	10234
300.29294	10184
300.314	10132
300.33502	10106
300.35608	10176
300.37711	10143
300.39816	10113
300.41919	10063
300.44025	10094
300.46127	10036
300.48233	9998
300.50336	10124
300.52441	10205
300.54544	10229
300.56647	10121
300.58752	10082
300.60855	10074
300.62961	10076
300.65063	10043
300.67169	10006
300.69272	10032
300.71375	10091
300.7348	10028
300.75583	9924
300.77686	9895
300.79791	9912
300.81894	9895
300.84	9879
300.86102	9849
300.88205	9985
300.90311	10059
300.92413	9958
300.94516	9889
300.96622	9863
300.98724	9932
301.00827	9929
