Date and Time:                Tue Apr 26 16:46:34.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.05
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              360
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



338.79376	307
338.81461	299
338.83545	298
338.85629	301
338.87714	301
338.89798	301
338.91882	297
338.93967	298
338.96051	306
338.98132	297
339.00217	304
339.02301	299
339.04385	306
339.0647	300
339.08554	305
339.10638	296
339.12723	300
339.14807	307
339.16891	301
339.18976	300
339.2106	296
339.23145	297
339.25226	300
339.2731	295
339.29395	301
339.31479	297
339.33563	298
339.35648	299
339.37732	302
339.39813	301
339.41898	307
339.43982	302
339.46066	305
339.48151	298
339.50232	302
339.52316	298
339.54401	303
339.56485	302
339.58566	301
339.60651	298
339.62735	299
339.64819	301
339.66901	301
339.68985	299
339.71069	294
339.73154	296
339.75235	306
339.77319	305
339.79404	301
339.81485	306
339.83569	304
339.85654	300
339.87735	294
339.89819	297
339.91904	305
339.93985	300
339.96069	298
339.98154	298
340.00235	303
340.02319	307
340.04404	299
340.06485	297
340.08569	300
340.10651	303
340.12735	302
340.14816	305
340.16901	300
340.18985	300
340.21066	302
340.23151	303
340.25232	302
340.27316	305
340.29398	303
340.31482	301
340.33563	302
340.35648	292
340.37729	308
340.39813	298
340.41895	304
340.43979	305
340.4606	297
340.48145	303
340.50226	301
340.5231	305
340.54391	306
340.56476	295
340.58557	300
340.60638	299
340.62723	297
340.64804	304
340.66888	298
340.6897	299
340.71051	302
340.73135	301
340.75217	303
340.77301	300
340.79382	309
340.81464	307
340.83548	300
340.85629	300
340.87711	302
340.89795	298
340.91876	304
340.93958	304
340.96042	299
340.98123	302
341.00204	299
341.02286	307
341.0437	304
341.06451	303
341.08533	302
341.10617	299
341.12698	293
341.1478	299
341.16861	302
341.18945	302
341.21027	300
341.23108	300
341.25189	298
341.27271	300
341.29355	307
341.31436	293
341.33517	298
341.35599	297
341.3768	297
341.39761	304
341.41846	304
341.43927	304
341.46008	299
341.4809	300
341.50171	301
341.52252	301
341.54333	302
