Date and Time:                Tue Apr 26 16:44:47.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              360
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



338.79376	20115
338.81461	19284
338.83545	19450
338.85629	19503
338.87714	19696
338.89798	19692
338.91882	19496
338.93967	19497
338.96051	19721
338.98132	19837
339.00217	19819
339.02301	19910
339.04385	19901
339.0647	20112
339.08554	19997
339.10638	19813
339.12723	19923
339.14807	20275
339.16891	20398
339.18976	20282
339.2106	20031
339.23145	20040
339.25226	20225
339.2731	20216
339.29395	20103
339.31479	20025
339.33563	20104
339.35648	20030
339.37732	20051
339.39813	20103
339.41898	20438
339.43982	20479
339.46066	20586
339.48151	20723
339.50232	20575
339.52316	20553
339.54401	20434
339.56485	20534
339.58566	20729
339.60651	20715
339.62735	20741
339.64819	20899
339.66901	21138
339.68985	21281
339.71069	21177
339.73154	21177
339.75235	21108
339.77319	21115
339.79404	21154
339.81485	21275
339.83569	21542
339.85654	21649
339.87735	21663
339.89819	21620
339.91904	21560
339.93985	21566
339.96069	21520
339.98154	21627
340.00235	21644
340.02319	21776
340.04404	21579
340.06485	21569
340.08569	21630
340.10651	21725
340.12735	21605
340.14816	21624
340.16901	21644
340.18985	21571
340.21066	21473
340.23151	21523
340.25232	21657
340.27316	21537
340.29398	21481
340.31482	21448
340.33563	21511
340.35648	21483
340.37729	21504
340.39813	21373
340.41895	21282
340.43979	21227
340.4606	20992
340.48145	20949
340.50226	20880
340.5231	20815
340.54391	20743
340.56476	20820
340.58557	20790
340.60638	20757
340.62723	20713
340.64804	20692
340.66888	20602
340.6897	20595
340.71051	20712
340.73135	20853
340.75217	20951
340.77301	20899
340.79382	20735
340.81464	20771
340.83548	20797
340.85629	20831
340.87711	20659
340.89795	20793
340.91876	20704
340.93958	20710
340.96042	20538
340.98123	20440
341.00204	20355
341.02286	20371
341.0437	20338
341.06451	20400
341.08533	20700
341.10617	20807
341.12698	20735
341.1478	20614
341.16861	20489
341.18945	20590
341.21027	20613
