Date and Time:                Tue Apr 26 16:35:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              360
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



338.79376	28081
338.81461	27020
338.83545	27177
338.85629	27333
338.87714	27588
338.89798	27536
338.91882	27340
338.93967	27383
338.96051	27639
338.98132	27868
339.00217	27761
339.02301	27707
339.04385	27710
339.0647	27841
339.08554	27819
339.10638	27420
339.12723	27605
339.14807	27994
339.16891	28089
339.18976	27930
339.2106	27618
339.23145	27519
339.25226	27614
339.2731	27531
339.29395	27306
339.31479	27036
339.33563	27131
339.35648	27056
339.37732	26937
339.39813	26957
339.41898	27170
339.43982	27279
339.46066	27309
339.48151	27320
339.50232	27122
339.52316	26864
339.54401	26714
339.56485	26714
339.58566	26932
339.60651	26864
339.62735	26808
339.64819	26859
339.66901	27080
339.68985	27146
339.71069	26959
339.73154	26766
339.75235	26661
339.77319	26637
339.79404	26569
339.81485	26703
339.83569	26958
339.85654	27070
339.87735	27030
339.89819	26816
339.91904	26643
339.93985	26640
339.96069	26492
339.98154	26578
340.00235	26606
340.02319	26602
340.04404	26409
340.06485	26380
340.08569	26365
340.10651	26399
340.12735	26342
340.14816	26306
340.16901	26320
340.18985	26098
340.21066	26082
340.23151	26047
340.25232	26146
340.27316	26037
340.29398	25966
340.31482	26013
340.33563	26146
340.35648	26133
340.37729	25956
340.39813	25929
340.41895	25787
340.43979	25738
340.4606	25565
340.48145	25417
340.50226	25443
340.5231	25294
340.54391	25373
340.56476	25371
340.58557	25510
340.60638	25391
340.62723	25491
340.64804	25332
340.66888	25309
340.6897	25344
340.71051	25454
340.73135	25713
340.75217	25848
340.77301	25841
340.79382	25757
340.81464	25842
340.83548	25863
340.85629	25904
340.87711	25984
340.89795	25962
340.91876	26084
340.93958	26019
340.96042	25876
340.98123	25769
341.00204	25775
341.02286	25748
341.0437	25800
341.06451	25965
341.08533	26341
341.10617	26525
341.12698	26435
341.1478	26134
341.16861	26268
341.18945	26354
341.21027	26422
