Date and Time:                Tue Apr 26 18:26:08.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.025
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	295
368.99429	300
369.01495	303
369.03564	298
369.0563	299
369.077	301
369.09766	299
369.11832	297
369.13901	298
369.15967	302
369.18033	303
369.20102	295
369.22168	297
369.24237	298
369.26303	303
369.28369	299
369.30438	298
369.32504	296
369.3457	296
369.36636	302
369.38705	298
369.40771	298
369.42838	300
369.44907	298
369.46973	307
369.49039	306
369.51105	300
369.53174	301
369.5524	299
369.57306	301
369.59372	303
369.61441	298
369.63507	303
369.65573	299
369.67639	296
369.69705	303
369.71774	294
369.7384	301
369.75906	305
369.77972	299
369.80038	305
369.82104	295
369.84174	303
369.8624	297
369.88306	299
369.90372	306
369.92438	295
369.94504	302
369.9657	298
369.98636	303
370.00702	296
370.02771	298
370.04837	305
370.06903	300
370.08969	296
370.11035	298
370.13101	302
370.15167	300
370.17233	302
370.19299	301
370.21365	305
370.23431	301
370.25497	297
370.27563	304
370.2963	303
370.31696	300
370.33762	302
370.35828	297
370.37894	296
370.3996	298
370.42026	302
370.44092	303
370.46155	302
370.48221	304
370.50287	302
370.52353	302
370.54419	303
370.56485	300
370.58551	295
370.60617	299
370.62683	302
370.64746	302
370.66812	297
370.68878	301
370.70944	302
370.7301	303
370.75076	296
370.77139	299
370.79205	295
370.81271	299
370.83337	299
370.85403	300
370.87466	302
370.89532	306
370.91599	297
370.93665	298
370.95728	298
370.97794	306
370.9986	303
371.01926	304
371.03989	292
371.06055	304
371.08121	303
371.10184	300
371.1225	300
371.14316	300
371.16379	300
371.18445	304
371.20511	295
371.22574	301
371.2464	298
371.26706	302
371.28769	299
371.30835	299
371.32901	301
371.34964	303
371.3703	301
371.39093	306
371.41159	300
371.43225	300
371.45288	306
371.47354	297
371.49417	299
371.51483	298
371.53546	303
371.55612	302
371.57675	301
371.59741	306
371.61804	305
371.6387	293
371.65933	301
371.67999	299
371.70062	305
