Date and Time:                Tue Apr 26 18:07:07.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.025
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              390
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



368.9736	17719
368.99429	17065
369.01495	17120
369.03564	17209
369.0563	17294
369.077	17373
369.09766	17105
369.11832	17111
369.13901	17265
369.15967	17250
369.18033	17282
369.20102	17270
369.22168	17266
369.24237	17266
369.26303	17201
369.28369	17087
369.30438	17080
369.32504	17317
369.3457	17424
369.36636	17230
369.38705	17106
369.40771	17080
369.42838	17161
369.44907	17048
369.46973	16865
369.49039	16820
369.51105	16888
369.53174	16838
369.5524	16741
369.57306	16729
369.59372	16993
369.61441	17060
369.63507	17045
369.65573	17000
369.67639	16998
369.69705	16858
369.71774	16733
369.7384	16785
369.75906	16889
369.77972	16961
369.80038	16794
369.82104	16914
369.84174	17120
369.8624	17216
369.88306	17103
369.90372	17080
369.92438	17000
369.94504	16999
369.9657	17011
369.98636	17044
370.00702	17237
370.02771	17284
370.04837	17288
370.06903	17304
370.08969	17164
370.11035	17123
370.13101	17114
370.15167	17158
370.17233	17293
370.19299	17308
370.21365	17207
370.23431	17188
370.25497	17208
370.27563	17226
370.2963	17190
370.31696	17205
370.33762	17226
370.35828	17164
370.37894	17192
370.3996	17147
370.42026	17274
370.44092	17240
370.46155	17154
370.48221	17135
370.50287	17311
370.52353	17308
370.54419	17149
370.56485	17192
370.58551	17047
370.60617	17143
370.62683	17015
370.64746	16945
370.66812	16906
370.68878	16906
370.70944	16944
370.7301	16957
370.75076	16976
370.77139	16952
370.79205	16992
370.81271	16922
370.83337	16891
370.85403	16916
370.87466	17004
370.89532	17130
370.91599	17302
370.93665	17301
370.95728	17154
370.97794	17162
370.9986	17246
371.01926	17285
371.03989	17259
371.06055	17324
371.08121	17331
371.10184	17257
371.1225	17114
371.14316	17094
371.16379	17106
371.18445	17053
371.20511	17130
371.22574	17192
371.2464	17463
371.26706	17551
371.28769	17464
371.30835	17286
371.32901	17327
371.34964	17392
371.3703	17487
