Date and Time:                Sun Jan 29 16:59:43.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              270
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



248.30344	735
248.32475	712
248.34605	681
248.36736	684
248.38867	699
248.40997	687
248.43127	676
248.45259	689
248.47389	661
248.49519	671
248.51649	690
248.53781	716
248.55911	677
248.58041	680
248.60172	674
248.62302	682
248.64433	699
248.66563	660
248.68694	734
248.70824	668
248.72954	670
248.75084	668
248.77214	697
248.79346	662
248.81476	660
248.83606	691
248.85736	667
248.87866	664
248.89996	670
248.92126	670
248.94257	632
248.96387	657
248.98517	660
249.00647	671
249.02777	673
249.04907	691
249.07037	669
249.09167	679
249.11298	679
249.13428	704
249.15558	642
249.17686	669
249.19817	643
249.21947	647
249.24077	689
249.26207	671
249.28337	659
249.30467	640
249.32596	683
249.34726	650
249.36856	645
249.38986	657
249.41116	652
249.43245	664
249.45375	668
249.47505	681
249.49634	652
249.51764	730
249.53894	662
249.56024	641
249.58153	662
249.60283	639
249.62413	704
249.64542	634
249.66672	657
249.688	652
249.7093	650
249.73061	658
249.75189	691
249.77319	664
249.79448	634
249.81578	650
249.83707	692
249.85837	644
249.87965	670
249.90096	830
249.92224	1043
249.94354	614
249.96483	646
249.98613	645
250.00742	620
250.02872	664
250.05	635
250.07129	634
250.09259	618
250.11388	641
250.13518	625
250.15646	635
250.17775	633
250.19905	651
250.22034	642
250.24162	618
250.26292	640
250.28421	632
250.3055	624
250.32678	598
250.34808	656
250.36937	634
250.39066	626
250.41194	614
250.43323	624
250.45453	605
250.47581	620
250.4971	617
250.51839	605
250.53967	619
250.56096	617
250.58226	621
250.60355	657
250.62483	687
250.64612	601
250.6674	606
250.68869	623
250.70998	597
250.73126	624
250.75255	631
250.77383	615
250.79512	637
250.81641	618
250.83769	641
250.85898	603
250.88026	602
250.90155	605
250.92284	615
250.94412	616
250.96541	664
250.98669	622
251.00797	591
251.02925	609
251.05054	642
251.07182	615
251.09311	613
251.1144	584
251.13567	616
