Date and Time:                Sun Jan 29 16:27:08.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	303
288.53345	296
288.55453	302
288.57565	305
288.59677	295
288.61786	305
288.63898	299
288.6601	305
288.68118	306
288.7023	301
288.72342	304
288.74454	301
288.76563	298
288.78674	301
288.80783	300
288.82895	296
288.85007	301
288.87115	297
288.89227	293
288.91339	299
288.93448	301
288.9556	300
288.97668	299
288.9978	298
289.01892	300
289.04001	300
289.06113	303
289.08221	299
289.10333	310
289.12442	306
289.14554	304
289.16666	301
289.18774	302
289.20886	301
289.22995	302
289.25107	298
289.27216	303
289.29327	301
289.31436	301
289.33548	302
289.35657	301
289.37769	303
289.39877	301
289.41989	305
289.44098	307
289.46207	310
289.48318	303
289.50427	300
289.52539	301
289.54648	303
289.5676	303
289.58868	302
289.60977	296
289.63089	297
289.65198	302
289.6731	302
289.69418	301
289.71527	301
289.73639	304
289.75748	309
289.77859	303
289.79968	301
289.82077	305
289.84189	305
289.86298	299
289.88406	298
289.90518	300
289.92627	303
289.94736	300
289.96848	306
289.98956	301
290.01065	296
290.03174	301
290.05286	301
290.07394	302
290.09503	304
290.11612	303
290.13724	303
290.15833	303
290.17941	300
290.2005	304
290.22162	299
290.24271	300
290.26379	300
290.28488	305
290.30597	302
290.32709	303
290.34818	305
290.36926	306
290.39035	299
290.41144	307
290.43256	305
290.45364	299
290.47473	294
290.49582	299
290.51691	307
290.53799	303
290.55908	296
290.5802	306
290.60129	302
290.62238	296
290.64346	300
290.66455	300
290.68564	303
290.70673	298
290.72781	306
290.7489	299
290.76999	301
290.79108	304
290.81216	302
290.83325	306
290.85434	303
290.87546	300
290.89655	303
290.91763	302
290.93872	302
290.95981	303
290.9809	301
291.00198	299
291.02307	304
291.04413	299
291.06522	308
291.0863	301
291.10739	301
291.12848	296
291.14957	306
291.17065	302
291.19174	309
291.21283	300
291.23392	303
291.255	306
291.27609	299
291.29718	302
