Date and Time:                Sun Jan 29 16:23:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	5706
288.53345	5463
288.55453	5480
288.57565	5488
288.59677	5531
288.61786	5622
288.63898	5617
288.6601	5608
288.68118	5611
288.7023	5639
288.72342	5643
288.74454	5553
288.76563	5579
288.78674	5605
288.80783	5566
288.82895	5616
288.85007	5622
288.87115	5583
288.89227	5683
288.91339	5645
288.93448	5577
288.9556	5586
288.97668	5597
288.9978	5563
289.01892	5497
289.04001	5494
289.06113	5476
289.08221	5439
289.10333	5412
289.12442	5376
289.14554	5380
289.16666	5353
289.18774	5308
289.20886	5290
289.22995	5206
289.25107	5168
289.27216	5179
289.29327	5148
289.31436	5108
289.33548	5069
289.35657	4995
289.37769	4950
289.39877	4874
289.41989	4890
289.44098	4837
289.46207	4838
289.48318	4790
289.50427	4745
289.52539	4702
289.54648	4646
289.5676	4624
289.58868	4598
289.60977	4548
289.63089	4544
289.65198	4542
289.6731	4507
289.69418	4477
289.71527	4454
289.73639	4456
289.75748	4408
289.77859	4409
289.79968	4387
289.82077	4410
289.84189	4348
289.86298	4345
289.88406	4337
289.90518	4340
289.92627	4290
289.94736	4296
289.96848	4234
289.98956	4225
290.01065	4189
290.03174	4221
290.05286	4216
290.07394	4234
290.09503	4233
290.11612	4223
290.13724	4244
290.15833	4247
290.17941	4263
290.2005	4261
290.22162	4284
290.24271	4357
290.26379	4406
290.28488	4435
290.30597	4440
290.32709	4500
290.34818	4518
290.36926	4483
290.39035	4516
290.41144	4572
290.43256	4583
290.45364	4596
290.47473	4609
290.49582	4651
290.51691	4657
290.53799	4689
290.55908	4753
290.5802	4805
290.60129	4886
290.62238	4889
290.64346	4905
290.66455	4927
290.68564	5037
290.70673	5068
290.72781	5116
290.7489	5209
290.76999	5272
290.79108	5297
290.81216	5331
290.83325	5337
290.85434	5365
290.87546	5387
290.89655	5418
290.91763	5522
290.93872	5512
290.95981	5526
