Date and Time:                Sun Jan 29 16:16:42.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	7165
288.53345	6769
288.55453	6760
288.57565	6724
288.59677	6725
288.61786	6739
288.63898	6718
288.6601	6675
288.68118	6568
288.7023	6552
288.72342	6472
288.74454	6387
288.76563	6316
288.78674	6313
288.80783	6301
288.82895	6262
288.85007	6179
288.87115	6200
288.89227	6201
288.91339	6146
288.93448	6067
288.9556	6064
288.97668	6024
288.9978	6020
289.01892	5994
289.04001	5908
289.06113	5911
289.08221	5865
289.10333	5829
289.12442	5822
289.14554	5843
289.16666	5840
289.18774	5872
289.20886	5862
289.22995	5776
289.25107	5817
289.27216	5826
289.29327	5870
289.31436	5914
289.33548	5892
289.35657	5840
289.37769	5864
289.39877	5873
289.41989	5863
289.44098	5918
289.46207	5957
289.48318	5987
289.50427	5987
289.52539	5997
289.54648	5987
289.5676	6036
289.58868	6042
289.60977	6068
289.63089	6153
289.65198	6171
289.6731	6200
289.69418	6178
289.71527	6241
289.73639	6286
289.75748	6260
289.77859	6312
289.79968	6345
289.82077	6416
289.84189	6388
289.86298	6405
289.88406	6387
289.90518	6376
289.92627	6395
289.94736	6323
289.96848	6278
289.98956	6268
290.01065	6252
290.03174	6287
290.05286	6229
290.07394	6272
290.09503	6229
290.11612	6223
290.13724	6155
290.15833	6206
290.17941	6161
290.2005	6147
290.22162	6158
290.24271	6156
290.26379	6187
290.28488	6089
290.30597	6124
290.32709	6046
290.34818	5965
290.36926	5901
290.39035	5845
290.41144	5847
290.43256	5741
290.45364	5705
290.47473	5641
290.49582	5607
290.51691	5580
290.53799	5485
290.55908	5445
290.5802	5434
290.60129	5407
290.62238	5370
290.64346	5327
290.66455	5260
290.68564	5249
290.70673	5215
290.72781	5237
290.7489	5190
290.76999	5206
290.79108	5168
290.81216	5108
290.83325	5061
290.85434	5039
290.87546	4995
290.89655	4997
290.91763	4976
290.93872	4977
290.95981	4906
