Date and Time:                Sun Jan 29 16:12:58.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	16687
288.53345	15951
288.55453	15831
288.57565	15813
288.59677	15891
288.61786	16122
288.63898	16096
288.6601	16037
288.68118	15942
288.7023	15915
288.72342	15893
288.74454	15687
288.76563	15547
288.78674	15655
288.80783	15768
288.82895	15706
288.85007	15780
288.87115	15752
288.89227	15860
288.91339	15809
288.93448	15777
288.9556	15810
288.97668	15813
288.9978	15772
289.01892	15776
289.04001	15741
289.06113	15685
289.08221	15701
289.10333	15779
289.12442	15813
289.14554	15891
289.16666	15945
289.18774	15977
289.20886	15863
289.22995	15893
289.25107	15912
289.27216	15920
289.29327	16037
289.31436	16040
289.33548	16083
289.35657	16057
289.37769	16105
289.39877	15957
289.41989	15941
289.44098	16001
289.46207	16117
289.48318	16210
289.50427	16196
289.52539	16127
289.54648	16098
289.5676	16059
289.58868	16080
289.60977	16178
289.63089	16288
289.65198	16284
289.6731	16250
289.69418	16107
289.71527	16192
289.73639	16229
289.75748	16312
289.77859	16336
289.79968	16352
289.82077	16387
289.84189	16314
289.86298	16396
289.88406	16309
289.90518	16277
289.92627	16188
289.94736	16085
289.96848	15895
289.98956	15899
290.01065	15868
290.03174	15852
290.05286	15831
290.07394	15853
290.09503	15849
290.11612	15809
290.13724	15845
290.15833	15871
290.17941	15779
290.2005	15910
290.22162	15918
290.24271	16150
290.26379	16175
290.28488	16205
290.30597	16232
290.32709	16249
290.34818	16151
290.36926	16071
290.39035	16119
290.41144	16149
290.43256	16173
290.45364	16058
290.47473	16081
290.49582	16009
290.51691	16050
290.53799	16019
290.55908	16025
290.5802	16161
290.60129	16342
290.62238	16306
290.64346	16156
290.66455	16199
290.68564	16325
290.70673	16405
290.72781	16496
290.7489	16603
290.76999	16727
290.79108	16730
290.81216	16663
290.83325	16698
290.85434	16623
290.87546	16604
290.89655	16677
290.91763	16760
290.93872	16813
