Date and Time:                Sun Jan 29 15:59:21.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         20
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              350
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



328.73563	7801
328.75653	7402
328.77744	7312
328.79834	7290
328.81924	7297
328.84012	7383
328.86102	7326
328.88193	7240
328.90283	7217
328.92374	7192
328.94461	7098
328.96552	6960
328.98642	6960
329.00732	7003
329.0282	6993
329.0491	6971
329.07001	6915
329.09088	6903
329.11179	6917
329.13269	6934
329.15359	6835
329.17447	6787
329.19537	6814
329.21628	6775
329.23715	6796
329.25806	6741
329.27896	6706
329.29984	6668
329.32074	6669
329.34161	6749
329.36252	6753
329.38342	6716
329.4043	6724
329.4252	6698
329.44611	6768
329.46698	6744
329.48788	6738
329.50876	6745
329.52966	6720
329.55054	6791
329.57144	6781
329.59235	6736
329.61322	6710
329.63412	6754
329.655	6726
329.6759	6769
329.69678	6709
329.71768	6786
329.73856	6749
329.75946	6735
329.78033	6753
329.80124	6715
329.82211	6743
329.84302	6828
329.86389	6832
329.88477	6798
329.90567	6749
329.92654	6768
329.94745	6830
329.96832	6909
329.98923	6856
330.0101	6821
330.03098	6870
330.05188	6877
330.07275	6882
330.09366	6869
330.11453	6827
330.13541	6790
330.15631	6773
330.17719	6764
330.19806	6735
330.21896	6706
330.23984	6673
330.26074	6693
330.28162	6740
330.30249	6698
330.32336	6671
330.34427	6662
330.36514	6665
330.38602	6673
330.40692	6694
330.4278	6756
330.44867	6737
330.46954	6823
330.49045	6827
330.51132	6810
330.5322	6808
330.55307	6738
330.57397	6684
330.59485	6688
330.61572	6732
330.6366	6722
330.6575	6648
330.67838	6679
330.69925	6575
330.72012	6572
330.741	6565
330.76187	6515
330.78278	6579
330.80365	6635
330.82452	6640
330.8454	6498
330.86627	6476
330.88715	6558
330.90802	6601
330.92892	6638
330.9498	6574
330.97067	6628
330.99155	6557
331.01242	6547
331.03329	6549
331.05417	6493
331.07504	6458
331.09592	6395
331.11679	6519
331.13766	6451
331.15854	6417
