Date and Time:                Sun Jan 29 16:04:12.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         20
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              350
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



328.73563	8465
328.75653	8026
328.77744	8015
328.79834	7989
328.81924	7975
328.84012	8017
328.86102	7957
328.88193	7891
328.90283	7838
328.92374	7806
328.94461	7807
328.96552	7701
328.98642	7652
329.00732	7680
329.0282	7691
329.0491	7658
329.07001	7638
329.09088	7640
329.11179	7651
329.13269	7636
329.15359	7610
329.17447	7644
329.19537	7643
329.21628	7602
329.23715	7592
329.25806	7558
329.27896	7534
329.29984	7528
329.32074	7525
329.34161	7571
329.36252	7589
329.38342	7636
329.4043	7610
329.4252	7626
329.44611	7594
329.46698	7649
329.48788	7692
329.50876	7718
329.52966	7748
329.55054	7764
329.57144	7732
329.59235	7741
329.61322	7744
329.63412	7722
329.655	7732
329.6759	7795
329.69678	7820
329.71768	7824
329.73856	7810
329.75946	7823
329.78033	7843
329.80124	7814
329.82211	7876
329.84302	7917
329.86389	7880
329.88477	7909
329.90567	7851
329.92654	7876
329.94745	7872
329.96832	7976
329.98923	7975
330.0101	7974
330.03098	8012
330.05188	7988
330.07275	7984
330.09366	7968
330.11453	7923
330.13541	7941
330.15631	7843
330.17719	7787
330.19806	7762
330.21896	7800
330.23984	7770
330.26074	7696
330.28162	7721
330.30249	7703
330.32336	7712
330.34427	7630
330.36514	7653
330.38602	7617
330.40692	7640
330.4278	7669
330.44867	7703
330.46954	7703
330.49045	7714
330.51132	7692
330.5322	7701
330.55307	7624
330.57397	7546
330.59485	7479
330.61572	7513
330.6366	7521
330.6575	7463
330.67838	7401
330.69925	7353
330.72012	7318
330.741	7293
330.76187	7279
330.78278	7340
330.80365	7351
330.82452	7286
330.8454	7201
330.86627	7178
330.88715	7177
330.90802	7221
330.92892	7227
330.9498	7273
330.97067	7272
330.99155	7194
331.01242	7149
331.03329	7133
331.05417	7085
331.07504	7093
331.09592	7067
331.11679	7079
331.13766	7107
331.15854	7030
