Date and Time:                Mon Oct 10 13:32:17.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	412
192.05646	411
192.078	404
192.09956	392
192.12112	402
192.14268	410
192.16425	394
192.18581	400
192.20735	388
192.22891	395
192.25047	402
192.27203	405
192.29358	397
192.31514	403
192.3367	393
192.35826	393
192.37981	396
192.40137	393
192.42293	415
192.44449	395
192.46603	395
192.48759	392
192.50916	407
192.5307	395
192.55226	390
192.57381	396
192.59537	392
192.61693	386
192.63847	385
192.66003	387
192.68159	388
192.70314	388
192.7247	390
192.74625	393
192.76781	396
192.78935	396
192.81091	392
192.83246	398
192.85402	400
192.87556	403
192.89713	385
192.91867	398
192.94023	392
192.96178	392
192.98334	396
193.00488	392
193.02643	390
193.04799	381
193.06953	398
193.09109	392
193.11264	385
193.13419	393
193.15575	390
193.17729	389
193.19884	387
193.2204	392
193.24194	381
193.26349	415
193.28505	389
193.30659	388
193.32814	391
193.34969	388
193.37125	407
193.39279	389
193.41434	390
193.43588	385
193.45744	390
193.47899	393
193.50053	408
193.52208	389
193.54362	387
193.56517	390
193.58673	405
193.60828	381
193.62982	392
193.65137	386
193.67291	391
193.69446	373
193.716	387
193.73755	385
193.75909	380
193.78064	399
193.80219	379
193.82375	383
193.84529	380
193.86684	388
193.88838	380
193.90993	387
193.93147	389
193.953	380
193.97455	386
193.99609	370
194.01764	384
194.03918	387
194.06073	380
194.08228	374
194.10382	387
194.12537	379
194.14691	381
194.16846	371
194.18999	373
194.21153	378
194.23308	381
194.25462	377
194.27617	370
194.29771	377
194.31924	379
194.34079	376
194.36234	392
194.38388	401
194.40541	380
194.42696	375
194.4485	374
194.47005	375
194.49158	385
194.51312	377
194.53467	370
194.5562	385
194.57774	375
194.59929	384
194.62082	370
194.64236	374
194.66391	380
194.68544	382
194.70699	367
194.72852	388
194.75006	374
194.77161	366
194.79314	370
194.81468	387
194.83621	377
194.85776	373
194.87929	361
194.90083	369
