Date and Time:                Mon Oct 10 13:42:26.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         420
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	1168
192.05646	1128
192.078	1080
192.09956	1058
192.12112	1096
192.14268	1087
192.16425	1036
192.18581	1064
192.20735	990
192.22891	1015
192.25047	1030
192.27203	1127
192.29358	1058
192.31514	1046
192.3367	1028
192.35826	1020
192.37981	1069
192.40137	1001
192.42293	1144
192.44449	1014
192.46603	1007
192.48759	1012
192.50916	1058
192.5307	1018
192.55226	997
192.57381	1037
192.59537	1013
192.61693	985
192.63847	956
192.66003	974
192.68159	932
192.70314	979
192.7247	986
192.74625	1022
192.76781	1024
192.78935	1070
192.81091	1026
192.83246	1049
192.85402	1050
192.87556	1108
192.89713	960
192.91867	1047
192.94023	969
192.96178	981
192.98334	1039
193.00488	1028
193.02643	979
193.04799	930
193.06953	1042
193.09109	970
193.11264	960
193.13419	993
193.15575	991
193.17729	1017
193.19884	1032
193.2204	1024
193.24194	992
193.26349	1149
193.28505	998
193.30659	932
193.32814	1027
193.34969	932
193.37125	1113
193.39279	953
193.41434	964
193.43588	913
193.45744	956
193.47899	978
193.50053	1075
193.52208	989
193.54362	957
193.56517	981
193.58673	1086
193.60828	941
193.62982	1004
193.65137	1017
193.67291	980
193.69446	899
193.716	948
193.73755	967
193.75909	910
193.78064	979
193.80219	911
193.82375	922
193.84529	889
193.86684	936
193.88838	929
193.90993	937
193.93147	930
193.953	955
193.97455	946
193.99609	906
194.01764	938
194.03918	910
194.06073	887
194.08228	876
194.10382	999
194.12537	909
194.14691	895
194.16846	870
194.18999	886
194.21153	851
194.23308	899
194.25462	909
194.27617	838
194.29771	884
194.31924	861
194.34079	887
194.36234	984
194.38388	1041
194.40541	856
194.42696	887
194.4485	874
194.47005	853
194.49158	928
194.51312	880
194.53467	860
194.5562	950
194.57774	885
194.59929	938
194.62082	936
194.64236	866
194.66391	860
194.68544	885
194.70699	856
194.72852	976
194.75006	882
