Date and Time:                Mon Oct 10 12:44:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	528
192.05646	510
192.078	503
192.09956	493
192.12112	493
192.14268	497
192.16425	487
192.18581	477
192.20735	453
192.22891	457
192.25047	460
192.27203	473
192.29358	463
192.31514	473
192.3367	471
192.35826	462
192.37981	468
192.40137	479
192.42293	497
192.44449	472
192.46603	454
192.48759	477
192.50916	497
192.5307	483
192.55226	478
192.57381	471
192.59537	466
192.61693	486
192.63847	491
192.66003	496
192.68159	492
192.70314	477
192.7247	462
192.74625	484
192.76781	501
192.78935	513
192.81091	500
192.83246	500
192.85402	488
192.87556	485
192.89713	480
192.91867	513
192.94023	506
192.96178	510
192.98334	521
193.00488	521
193.02643	505
193.04799	482
193.06953	499
193.09109	499
193.11264	512
193.13419	509
193.15575	515
193.17729	518
193.19884	516
193.2204	518
193.24194	497
193.26349	519
193.28505	508
193.30659	512
193.32814	526
193.34969	518
193.37125	531
193.39279	513
193.41434	524
193.43588	512
193.45744	510
193.47899	516
193.50053	531
193.52208	520
193.54362	524
193.56517	529
193.58673	540
193.60828	525
193.62982	529
193.65137	526
193.67291	529
193.69446	501
193.716	513
193.73755	510
193.75909	517
193.78064	528
193.80219	515
193.82375	515
193.84529	524
193.86684	520
193.88838	512
193.90993	534
193.93147	526
193.953	520
193.97455	525
193.99609	506
194.01764	536
194.03918	530
194.06073	539
194.08228	558
194.10382	528
194.12537	534
194.14691	533
194.16846	534
194.18999	528
194.21153	516
194.23308	532
194.25462	524
194.27617	525
194.29771	520
194.31924	529
194.34079	534
194.36234	535
194.38388	549
194.40541	521
194.42696	534
194.4485	537
194.47005	515
194.49158	524
194.51312	500
194.53467	493
194.5562	504
194.57774	494
194.59929	495
194.62082	492
194.64236	519
194.66391	511
194.68544	493
194.70699	506
194.72852	542
194.75006	530
194.77161	498
194.79314	484
194.81468	524
194.83621	542
194.85776	537
194.87929	512
194.90083	506
