Date and Time:                Mon Oct 10 12:38:47.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	529
192.05646	523
192.078	505
192.09956	496
192.12112	505
192.14268	497
192.16425	492
192.18581	472
192.20735	458
192.22891	454
192.25047	462
192.27203	484
192.29358	459
192.31514	474
192.3367	477
192.35826	464
192.37981	477
192.40137	484
192.42293	502
192.44449	468
192.46603	466
192.48759	476
192.50916	496
192.5307	503
192.55226	486
192.57381	481
192.59537	463
192.61693	491
192.63847	494
192.66003	502
192.68159	480
192.70314	470
192.7247	469
192.74625	493
192.76781	503
192.78935	521
192.81091	520
192.83246	506
192.85402	495
192.87556	487
192.89713	479
192.91867	507
192.94023	513
192.96178	518
192.98334	523
193.00488	519
193.02643	497
193.04799	479
193.06953	501
193.09109	503
193.11264	517
193.13419	518
193.15575	523
193.17729	529
193.19884	523
193.2204	523
193.24194	510
193.26349	525
193.28505	520
193.30659	513
193.32814	529
193.34969	519
193.37125	548
193.39279	520
193.41434	529
193.43588	513
193.45744	518
193.47899	514
193.50053	527
193.52208	534
193.54362	531
193.56517	537
193.58673	550
193.60828	529
193.62982	541
193.65137	541
193.67291	537
193.69446	517
193.716	513
193.73755	516
193.75909	525
193.78064	536
193.80219	517
193.82375	528
193.84529	527
193.86684	523
193.88838	527
193.90993	533
193.93147	533
193.953	535
193.97455	533
193.99609	523
194.01764	533
194.03918	527
194.06073	531
194.08228	533
194.10382	545
194.12537	524
194.14691	530
194.16846	537
194.18999	543
194.21153	534
194.23308	539
194.25462	530
194.27617	526
194.29771	535
194.31924	540
194.34079	540
194.36234	553
194.38388	552
194.40541	540
194.42696	537
194.4485	532
194.47005	528
194.49158	532
194.51312	498
194.53467	494
194.5562	508
194.57774	514
194.59929	506
194.62082	496
194.64236	515
194.66391	514
194.68544	490
194.70699	518
194.72852	548
194.75006	531
194.77161	493
194.79314	503
194.81468	536
194.83621	551
194.85776	546
194.87929	504
194.90083	499
