Date and Time:                Mon Oct 10 12:48:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         420
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	2011
192.05646	1958
192.078	1880
192.09956	1815
192.12112	1829
192.14268	1834
192.16425	1739
192.18581	1650
192.20735	1490
192.22891	1501
192.25047	1538
192.27203	1652
192.29358	1577
192.31514	1624
192.3367	1628
192.35826	1614
192.37981	2117
192.40137	1798
192.42293	1821
192.44449	1619
192.46603	1538
192.48759	1631
192.50916	1803
192.5307	1807
192.55226	1709
192.57381	1628
192.59537	1591
192.61693	1701
192.63847	1757
192.66003	1825
192.68159	1751
192.70314	1660
192.7247	1581
192.74625	1848
192.76781	1853
192.78935	1964
192.81091	1917
192.83246	1881
192.85402	1805
192.87556	1760
192.89713	1675
192.91867	1895
192.94023	1891
192.96178	1935
192.98334	2004
193.00488	1947
193.02643	1889
193.04799	1700
193.06953	1813
193.09109	1847
193.11264	1934
193.13419	1966
193.15575	1971
193.17729	2017
193.19884	2002
193.2204	1987
193.24194	1876
193.26349	1981
193.28505	1904
193.30659	1949
193.32814	2019
193.34969	1974
193.37125	2149
193.39279	2006
193.41434	2015
193.43588	1957
193.45744	1943
193.47899	1919
193.50053	2030
193.52208	2035
193.54362	2002
193.56517	2052
193.58673	2168
193.60828	2030
193.62982	2110
193.65137	2114
193.67291	2068
193.69446	1906
193.716	1950
193.73755	1936
193.75909	1935
193.78064	2052
193.80219	1968
193.82375	2015
193.84529	2012
193.86684	2028
193.88838	1986
193.90993	2055
193.93147	2049
193.953	2060
193.97455	2016
193.99609	1954
194.01764	2040
194.03918	2065
194.06073	2056
194.08228	2038
194.10382	2107
194.12537	2066
194.14691	2105
194.16846	2062
194.18999	2075
194.21153	2059
194.23308	2047
194.25462	2042
194.27617	1999
194.29771	2055
194.31924	2084
194.34079	2126
194.36234	2190
194.38388	2277
194.40541	2041
194.42696	2065
194.4485	2077
194.47005	2061
194.49158	2020
194.51312	1837
194.53467	1776
