Date and Time:                Mon Oct 10 12:47:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	13410
192.05646	12984
192.078	12753
192.09956	12014
192.12112	11514
192.14268	11841
192.16425	11432
192.18581	9465
192.20735	8332
192.22891	8152
192.25047	8301
192.27203	8596
192.29358	8219
192.31514	9289
192.3367	10028
192.35826	8915
192.37981	8661
192.40137	10117
192.42293	10605
192.44449	9691
192.46603	8555
192.48759	9677
192.50916	11508
192.5307	12084
192.55226	11291
192.57381	9373
192.59537	9122
192.61693	10914
192.63847	12315
192.66003	12807
192.68159	12385
192.70314	10691
192.7247	9364
192.74625	10800
192.76781	12643
192.78935	13335
192.81091	13341
192.83246	12956
192.85402	11824
192.87556	10299
192.89713	10821
192.91867	12750
192.94023	13628
192.96178	13823
192.98334	13958
193.00488	13723
193.02643	13054
193.04799	11496
193.06953	11231
193.09109	12744
193.11264	13878
193.13419	14122
193.15575	14232
193.17729	14335
193.19884	14272
193.2204	13903
193.24194	12923
193.26349	12237
193.28505	13146
193.30659	14008
193.32814	14300
193.34969	14494
193.37125	14519
193.39279	14578
193.41434	14467
193.43588	14371
193.45744	13693
193.47899	13124
193.50053	13398
193.52208	14120
193.54362	14544
193.56517	14617
193.58673	14621
193.60828	14672
193.62982	14704
193.65137	14711
193.67291	14510
193.69446	13861
193.716	13374
193.73755	13372
193.75909	13848
193.78064	14228
193.80219	13940
193.82375	14176
193.84529	14605
193.86684	14341
193.88838	14012
193.90993	14497
193.93147	14757
193.953	14603
193.97455	13916
193.99609	13747
194.01764	14446
194.03918	14754
194.06073	14936
194.08228	14864
194.10382	14330
194.12537	14532
194.14691	14985
194.16846	15029
194.18999	15036
194.21153	14973
194.23308	14730
194.25462	14293
194.27617	14534
194.29771	14934
194.31924	15143
194.34079	15171
194.36234	15170
194.38388	15002
194.40541	14796
194.42696	14659
194.4485	14930
194.47005	14703
194.49158	13700
194.51312	12021
194.53467	11822
