Date and Time:                Mon Oct 10 15:23:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	517
177.99368	506
178.0153	487
178.03691	493
178.05853	495
178.08015	484
178.10176	481
178.12338	480
178.145	480
178.16661	479
178.18823	490
178.20985	508
178.23146	485
178.25308	484
178.27469	483
178.29631	481
178.31793	486
178.33954	475
178.36116	516
178.38277	484
178.40439	477
178.42599	480
178.44762	493
178.46922	477
178.49084	480
178.51245	489
178.53407	476
178.55568	482
178.5773	468
178.59891	463
178.62053	465
178.64214	466
178.66376	474
178.68536	480
178.70697	480
178.72859	489
178.7502	482
178.77182	472
178.79343	493
178.81503	503
178.83665	457
178.85826	476
178.87987	465
178.90149	471
178.9231	485
178.9447	485
178.96631	469
178.98793	455
179.00954	487
179.03114	472
179.05275	469
179.07437	472
179.09598	480
179.11758	484
179.13919	683
179.16081	484
179.18242	472
179.20403	515
179.22563	471
179.24724	463
179.26884	479
179.29047	450
179.31207	499
179.33368	455
179.35529	465
179.37689	450
179.3985	469
179.4201	465
179.44171	497
179.46332	475
179.48492	457
179.50653	475
179.52814	491
179.54974	457
179.57135	474
179.59296	476
179.61456	470
179.63617	450
179.65778	456
179.67938	476
179.70099	463
179.7226	473
179.7442	458
179.76581	463
179.78741	449
179.80902	465
179.83063	455
179.85223	467
179.87383	464
179.89543	460
179.91704	455
179.93864	446
179.96025	457
179.98186	462
180.00345	451
180.02505	438
180.04666	471
180.06827	461
180.08986	452
180.11147	451
180.13307	438
180.15468	440
180.17627	446
180.19788	456
180.21948	441
180.24107	447
180.26268	445
180.28429	452
180.30589	485
180.32748	583
180.34909	1107
180.37068	446
180.39229	444
180.41389	444
180.43549	458
180.45709	449
180.47868	442
180.50029	472
180.5219	448
180.54349	467
180.56509	437
180.58669	440
180.60829	440
180.62988	457
180.65149	444
180.67308	473
180.69469	443
180.71628	438
180.73788	439
180.75948	467
180.78107	453
180.80267	442
180.82426	430
