Date and Time:                Mon Oct 10 15:11:51.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	599
177.99368	593
178.0153	574
178.03691	572
178.05853	577
178.08015	585
178.10176	574
178.12338	570
178.145	574
178.16661	569
178.18823	560
178.20985	589
178.23146	576
178.25308	562
178.27469	562
178.29631	561
178.31793	573
178.33954	550
178.36116	591
178.38277	565
178.40439	554
178.42599	559
178.44762	569
178.46922	566
178.49084	563
178.51245	574
178.53407	565
178.55568	558
178.5773	545
178.59891	546
178.62053	545
178.64214	555
178.66376	568
178.68536	564
178.70697	560
178.72859	571
178.7502	567
178.77182	569
178.79343	564
178.81503	580
178.83665	556
178.85826	566
178.87987	552
178.90149	555
178.9231	573
178.9447	562
178.96631	551
178.98793	532
179.00954	569
179.03114	550
179.05275	545
179.07437	559
179.09598	551
179.11758	555
179.13919	557
179.16081	565
179.18242	560
179.20403	593
179.22563	557
179.24724	548
179.26884	567
179.29047	544
179.31207	581
179.33368	549
179.35529	546
179.37689	534
179.3985	557
179.4201	557
179.44171	574
179.46332	558
179.48492	551
179.50653	545
179.52814	581
179.54974	549
179.57135	560
179.59296	561
179.61456	549
179.63617	536
179.65778	543
179.67938	546
179.70099	539
179.7226	558
179.7442	537
179.76581	541
179.78741	537
179.80902	542
179.83063	546
179.85223	542
179.87383	534
179.89543	546
179.91704	540
179.93864	534
179.96025	547
179.98186	543
180.00345	528
180.02505	536
180.04666	555
180.06827	528
180.08986	536
180.11147	534
180.13307	528
180.15468	525
180.17627	528
180.19788	542
180.21948	526
180.24107	529
180.26268	528
180.28429	533
180.30589	540
180.32748	565
180.34909	523
180.37068	530
180.39229	529
180.41389	512
180.43549	535
180.45709	533
180.47868	521
180.50029	538
180.5219	531
180.54349	539
180.56509	518
180.58669	526
180.60829	529
180.62988	531
180.65149	517
180.67308	546
180.69469	537
180.71628	516
180.73788	530
180.75948	537
180.78107	524
180.80267	528
180.82426	505
180.84587	519
