Date and Time:                Mon Oct 10 15:41:41.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              235
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



213.13235	527
213.15382	518
213.17529	498
213.19676	489
213.21823	504
213.23969	503
213.26115	490
213.28262	502
213.30409	482
213.32556	489
213.34703	488
213.36848	510
213.38995	501
213.41142	487
213.43289	488
213.45435	487
213.47581	491
213.49728	491
213.51874	510
213.54021	493
213.56168	477
213.58315	488
213.6046	499
213.62607	488
213.64752	482
213.66899	492
213.69046	480
213.71191	475
213.73338	482
213.75485	470
213.77631	466
213.79778	477
213.81923	478
213.8407	488
213.86215	488
213.88362	497
213.90508	487
213.92654	492
213.948	491
213.96947	505
213.99092	476
214.01239	489
214.03384	465
214.05531	478
214.07677	497
214.09824	498
214.11969	479
214.14114	466
214.16261	491
214.18407	466
214.20552	478
214.22699	480
214.24844	474
214.2699	488
214.29137	486
214.31282	484
214.33427	483
214.35574	518
214.3772	480
214.39865	466
214.4201	484
214.44157	464
214.46303	512
214.48448	470
214.50594	471
214.5274	465
214.54886	478
214.57031	477
214.59177	502
214.61322	477
214.63467	476
214.65614	478
214.6776	496
214.69905	463
214.7205	488
214.74196	488
214.76341	476
214.78487	454
214.80632	467
214.82777	481
214.84923	455
214.87068	479
214.89214	452
214.91359	466
214.93504	460
214.9565	470
214.97795	461
214.9994	470
215.02086	461
215.04231	469
215.06377	473
215.08522	461
215.10667	470
215.12813	468
215.14958	448
215.17104	455
215.19247	487
215.21393	457
215.23538	453
215.25684	462
215.27829	451
215.29974	453
215.32118	462
215.34264	466
215.36409	442
215.38554	458
215.40698	459
215.42844	463
215.44989	474
215.47134	495
215.49278	442
215.51424	461
215.53569	452
215.55713	448
215.57858	473
215.60004	457
215.62148	450
215.64293	473
215.66438	458
215.68582	471
215.70728	438
215.72871	440
215.75017	446
215.77161	456
215.79306	455
215.81451	471
215.83595	464
215.85741	447
215.87885	443
215.9003	467
215.92174	453
215.94319	449
215.96463	445
215.98608	448
