Date and Time:                Mon Oct 10 15:34:03.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              235
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



213.13235	10899
213.15382	10372
213.17529	10369
213.19676	10380
213.21823	10357
213.23969	10477
213.26115	10501
213.28262	10445
213.30409	10444
213.32556	10396
213.34703	10372
213.36848	10313
213.38995	10343
213.41142	10352
213.43289	10355
213.45435	10405
213.47581	10386
213.49728	10366
213.51874	10446
213.54021	10450
213.56168	10343
213.58315	10382
213.6046	10422
213.62607	10417
213.64752	10396
213.66899	10488
213.69046	10465
213.71191	10494
213.73338	10463
213.75485	10448
213.77631	10473
213.79778	10410
213.81923	10415
213.8407	10348
213.86215	10408
213.88362	10436
213.90508	10379
213.92654	10459
213.948	10404
213.96947	10456
213.99092	10432
214.01239	10392
214.03384	10361
214.05531	10383
214.07677	10380
214.09824	10461
214.11969	10466
214.14114	10393
214.16261	10438
214.18407	10510
214.20552	10470
214.22699	10438
214.24844	10394
214.2699	10429
214.29137	10421
214.31282	10413
214.33427	10483
214.35574	10505
214.3772	10497
214.39865	10472
214.4201	10459
214.44157	10423
214.46303	10448
214.48448	10380
214.50594	10423
214.5274	10347
214.54886	10402
214.57031	10390
214.59177	10396
214.61322	10306
214.63467	10289
214.65614	10341
214.6776	10291
214.69905	10369
214.7205	10319
214.74196	10329
214.76341	10337
214.78487	10273
214.80632	10328
214.82777	10322
214.84923	10297
214.87068	10296
214.89214	10345
214.91359	10329
214.93504	10307
214.9565	10419
214.97795	10442
214.9994	10369
215.02086	10374
215.04231	10388
215.06377	10376
215.08522	10361
215.10667	10343
215.12813	10337
215.14958	10350
215.17104	10419
215.19247	10375
215.21393	10411
215.23538	10398
215.25684	10436
215.27829	10454
215.29974	10442
215.32118	10463
215.34264	10444
215.36409	10449
215.38554	10511
215.40698	10559
215.42844	10523
215.44989	10568
215.47134	10425
215.49278	10413
215.51424	10411
215.53569	10425
215.55713	10515
215.57858	10479
215.60004	10457
215.62148	10464
