Date and Time:                Mon Oct 10 12:39:48.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	529
192.05646	514
192.078	510
192.09956	491
192.12112	508
192.14268	508
192.16425	488
192.18581	474
192.20735	451
192.22891	468
192.25047	464
192.27203	475
192.29358	464
192.31514	473
192.3367	479
192.35826	457
192.37981	478
192.40137	476
192.42293	488
192.44449	477
192.46603	456
192.48759	475
192.50916	500
192.5307	493
192.55226	491
192.57381	474
192.59537	472
192.61693	494
192.63847	491
192.66003	496
192.68159	489
192.70314	482
192.7247	464
192.74625	480
192.76781	510
192.78935	526
192.81091	514
192.83246	513
192.85402	506
192.87556	499
192.89713	482
192.91867	508
192.94023	510
192.96178	523
192.98334	519
193.00488	520
193.02643	507
193.04799	483
193.06953	499
193.09109	497
193.11264	515
193.13419	517
193.15575	523
193.17729	523
193.19884	524
193.2204	518
193.24194	507
193.26349	528
193.28505	503
193.30659	523
193.32814	526
193.34969	524
193.37125	541
193.39279	520
193.41434	522
193.43588	521
193.45744	515
193.47899	514
193.50053	527
193.52208	532
193.54362	533
193.56517	527
193.58673	549
193.60828	527
193.62982	544
193.65137	534
193.67291	537
193.69446	519
193.716	509
193.73755	519
193.75909	533
193.78064	534
193.80219	518
193.82375	519
193.84529	534
193.86684	530
193.88838	525
193.90993	538
193.93147	534
193.953	542
193.97455	524
193.99609	523
194.01764	532
194.03918	533
194.06073	536
194.08228	535
194.10382	535
194.12537	536
194.14691	532
194.16846	527
194.18999	540
194.21153	537
194.23308	536
194.25462	538
194.27617	533
194.29771	531
194.31924	543
194.34079	537
194.36234	550
194.38388	560
194.40541	526
194.42696	544
194.4485	539
194.47005	531
194.49158	524
194.51312	500
194.53467	496
194.5562	504
194.57774	505
194.59929	512
194.62082	497
194.64236	519
194.66391	508
194.68544	498
194.70699	510
194.72852	549
194.75006	531
194.77161	506
194.79314	507
194.81468	533
194.83621	540
194.85776	538
194.87929	524
194.90083	512
