Date and Time:                Mon Oct 10 12:41:29.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	517
192.05646	508
192.078	502
192.09956	498
192.12112	497
192.14268	495
192.16425	482
192.18581	464
192.20735	451
192.22891	455
192.25047	457
192.27203	484
192.29358	457
192.31514	475
192.3367	471
192.35826	463
192.37981	470
192.40137	476
192.42293	495
192.44449	474
192.46603	453
192.48759	476
192.50916	495
192.5307	496
192.55226	477
192.57381	471
192.59537	471
192.61693	494
192.63847	492
192.66003	497
192.68159	490
192.70314	476
192.7247	458
192.74625	486
192.76781	506
192.78935	517
192.81091	507
192.83246	508
192.85402	496
192.87556	482
192.89713	479
192.91867	507
192.94023	511
192.96178	515
192.98334	526
193.00488	523
193.02643	510
193.04799	482
193.06953	495
193.09109	496
193.11264	509
193.13419	517
193.15575	513
193.17729	529
193.19884	518
193.2204	519
193.24194	499
193.26349	516
193.28505	508
193.30659	507
193.32814	523
193.34969	520
193.37125	546
193.39279	529
193.41434	515
193.43588	511
193.45744	516
193.47899	503
193.50053	523
193.52208	520
193.54362	525
193.56517	522
193.58673	543
193.60828	532
193.62982	527
193.65137	533
193.67291	538
193.69446	515
193.716	506
193.73755	509
193.75909	516
193.78064	529
193.80219	511
193.82375	523
193.84529	517
193.86684	529
193.88838	514
193.90993	522
193.93147	530
193.953	531
193.97455	525
193.99609	511
194.01764	534
194.03918	534
194.06073	527
194.08228	532
194.10382	530
194.12537	527
194.14691	529
194.16846	531
194.18999	532
194.21153	535
194.23308	531
194.25462	525
194.27617	525
194.29771	530
194.31924	532
194.34079	541
194.36234	559
194.38388	551
194.40541	527
194.42696	516
194.4485	539
194.47005	535
194.49158	526
194.51312	501
194.53467	486
194.5562	500
194.57774	507
194.59929	502
194.62082	494
194.64236	514
194.66391	504
194.68544	495
194.70699	511
194.72852	546
194.75006	530
194.77161	496
194.79314	499
194.81468	541
194.83621	541
194.85776	542
194.87929	507
194.90083	509
