Date and Time:                Mon Oct 10 15:20:02.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	513
177.99368	504
178.0153	488
178.03691	486
178.05853	492
178.08015	500
178.10176	481
178.12338	484
178.145	467
178.16661	477
178.18823	494
178.20985	494
178.23146	488
178.25308	478
178.27469	471
178.29631	473
178.31793	489
178.33954	472
178.36116	507
178.38277	474
178.40439	480
178.42599	477
178.44762	495
178.46922	485
178.49084	471
178.51245	490
178.53407	478
178.55568	470
178.5773	462
178.59891	459
178.62053	459
178.64214	461
178.66376	474
178.68536	479
178.70697	477
178.72859	491
178.7502	479
178.77182	475
178.79343	477
178.81503	495
178.83665	464
178.85826	477
178.87987	459
178.90149	466
178.9231	482
178.9447	481
178.96631	469
178.98793	456
179.00954	473
179.03114	468
179.05275	466
179.07437	472
179.09598	468
179.11758	468
179.13919	475
179.16081	478
179.18242	469
179.20403	514
179.22563	465
179.24724	459
179.26884	474
179.29047	458
179.31207	498
179.33368	449
179.35529	464
179.37689	456
179.3985	463
179.4201	473
179.44171	480
179.46332	475
179.48492	458
179.50653	468
179.52814	494
179.54974	459
179.57135	468
179.59296	470
179.61456	466
179.63617	450
179.65778	463
179.67938	468
179.70099	448
179.7226	470
179.7442	454
179.76581	455
179.78741	451
179.80902	446
179.83063	455
179.85223	455
179.87383	456
179.89543	460
179.91704	458
179.93864	453
179.96025	459
179.98186	452
180.00345	451
180.02505	443
180.04666	466
180.06827	450
180.08986	447
180.11147	438
180.13307	452
180.15468	445
180.17627	450
180.19788	447
180.21948	444
180.24107	452
180.26268	442
180.28429	447
180.30589	463
180.32748	490
180.34909	444
180.37068	451
180.39229	447
180.41389	438
180.43549	455
180.45709	443
180.47868	443
180.50029	463
180.5219	440
180.54349	459
180.56509	434
180.58669	435
180.60829	435
180.62988	441
180.65149	439
180.67308	466
180.69469	442
180.71628	439
180.73788	437
180.75948	463
180.78107	456
180.80267	445
180.82426	432
180.84587	440
