Date and Time:                Mon Oct 10 15:19:51.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	312
177.99368	308
178.0153	307
178.03691	311
178.05853	309
178.08015	313
178.10176	308
178.12338	307
178.145	314
178.16661	307
178.18823	313
178.20985	314
178.23146	311
178.25308	306
178.27469	306
178.29631	305
178.31793	311
178.33954	307
178.36116	312
178.38277	314
178.40439	306
178.42599	306
178.44762	304
178.46922	308
178.49084	310
178.51245	304
178.53407	310
178.55568	305
178.5773	309
178.59891	307
178.62053	306
178.64214	309
178.66376	306
178.68536	310
178.70697	303
178.72859	307
178.7502	307
178.77182	310
178.79343	308
178.81503	307
178.83665	310
178.85826	302
178.87987	304
178.90149	306
178.9231	303
178.9447	307
178.96631	305
178.98793	304
179.00954	310
179.03114	306
179.05275	313
179.07437	298
179.09598	305
179.11758	312
179.13919	310
179.16081	313
179.18242	307
179.20403	313
179.22563	307
179.24724	310
179.26884	303
179.29047	308
179.31207	303
179.33368	306
179.35529	301
179.37689	305
179.3985	312
179.4201	308
179.44171	310
179.46332	311
179.48492	312
179.50653	309
179.52814	305
179.54974	305
179.57135	309
179.59296	312
179.61456	306
179.63617	306
179.65778	310
179.67938	311
179.70099	306
179.7226	309
179.7442	307
179.76581	308
179.78741	305
179.80902	304
179.83063	311
179.85223	309
179.87383	301
179.89543	310
179.91704	309
179.93864	312
179.96025	310
179.98186	305
180.00345	303
180.02505	305
180.04666	305
180.06827	310
180.08986	309
180.11147	308
180.13307	313
180.15468	304
180.17627	312
180.19788	308
180.21948	304
180.24107	311
180.26268	310
180.28429	303
180.30589	311
180.32748	307
180.34909	307
180.37068	305
180.39229	311
180.41389	306
180.43549	310
180.45709	304
180.47868	310
180.50029	309
180.5219	309
180.54349	308
180.56509	304
180.58669	306
180.60829	302
180.62988	311
180.65149	301
180.67308	308
180.69469	308
180.71628	304
180.73788	310
180.75948	302
180.78107	313
180.80267	304
180.82426	310
