Date and Time:                Mon Oct 10 15:41:33.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              235
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



213.13235	309
213.15382	299
213.17529	308
213.19676	307
213.21823	301
213.23969	302
213.26115	311
213.28262	297
213.30409	303
213.32556	302
213.34703	304
213.36848	300
213.38995	301
213.41142	296
213.43289	300
213.45435	302
213.47581	304
213.49728	305
213.51874	307
213.54021	309
213.56168	308
213.58315	308
213.6046	304
213.62607	302
213.64752	306
213.66899	299
213.69046	304
213.71191	309
213.73338	304
213.75485	298
213.77631	301
213.79778	301
213.81923	301
213.8407	302
213.86215	301
213.88362	313
213.90508	297
213.92654	303
213.948	300
213.96947	303
213.99092	303
214.01239	296
214.03384	308
214.05531	302
214.07677	300
214.09824	302
214.11969	302
214.14114	305
214.16261	302
214.18407	306
214.20552	296
214.22699	308
214.24844	306
214.2699	300
214.29137	302
214.31282	301
214.33427	303
214.35574	306
214.3772	301
214.39865	299
214.4201	301
214.44157	298
214.46303	303
214.48448	306
214.50594	304
214.5274	302
214.54886	306
214.57031	309
214.59177	302
214.61322	304
214.63467	303
214.65614	301
214.6776	303
214.69905	306
214.7205	306
214.74196	296
214.76341	309
214.78487	304
214.80632	304
214.82777	305
214.84923	302
214.87068	302
214.89214	307
214.91359	298
214.93504	301
214.9565	302
214.97795	301
214.9994	305
215.02086	304
215.04231	298
215.06377	301
215.08522	305
215.10667	303
215.12813	302
215.14958	303
215.17104	301
215.19247	306
215.21393	305
215.23538	302
215.25684	302
215.27829	307
215.29974	304
215.32118	304
215.34264	305
215.36409	298
215.38554	295
215.40698	302
215.42844	302
215.44989	308
215.47134	316
215.49278	509
215.51424	399
215.53569	302
215.55713	305
215.57858	304
215.60004	302
215.62148	303
215.64293	302
215.66438	299
215.68582	302
215.70728	308
215.72871	305
215.75017	310
215.77161	308
215.79306	303
215.81451	299
215.83595	306
215.85741	309
215.87885	305
215.9003	299
215.92174	309
215.94319	308
215.96463	298
