Date and Time:                Mon Oct 10 15:34:21.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              235
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



213.13235	50354
213.15382	49949
213.17529	50444
213.19676	50759
213.21823	51012
213.23969	51236
213.26115	51400
213.28262	51563
213.30409	51695
213.32556	51821
213.34703	51933
213.36848	52036
213.38995	52132
213.41142	52202
213.43289	52292
213.45435	52368
213.47581	52415
213.49728	52462
213.51874	52530
213.54021	52587
213.56168	52636
213.58315	52683
213.6046	52738
213.62607	52778
213.64752	52808
213.66899	52847
213.69046	52867
213.71191	52921
213.73338	52944
213.75485	52950
213.77631	52992
213.79778	53019
213.81923	53033
213.8407	53065
213.86215	53092
213.88362	53107
213.90508	53117
213.92654	53142
213.948	53162
213.96947	53202
213.99092	53215
214.01239	53232
214.03384	53254
214.05531	53268
214.07677	53279
214.09824	53305
214.11969	53310
214.14114	53328
214.16261	53337
214.18407	53348
214.20552	53366
214.22699	53371
214.24844	53385
214.2699	53396
214.29137	53415
214.31282	53413
214.33427	53425
214.35574	53426
214.3772	53444
214.39865	53452
214.4201	53461
214.44157	53466
214.46303	53481
214.48448	53496
214.50594	53497
214.5274	53493
214.54886	53512
214.57031	53514
214.59177	53523
214.61322	53533
214.63467	53541
214.65614	53536
214.6776	53546
214.69905	53561
214.7205	53562
214.74196	53577
214.76341	53571
214.78487	53583
214.80632	53575
214.82777	53578
214.84923	53593
214.87068	53581
214.89214	53588
214.91359	53619
214.93504	53585
214.9565	53615
214.97795	53594
214.9994	53631
215.02086	53598
215.04231	53632
215.06377	53630
215.08522	53607
215.10667	53657
215.12813	53629
215.14958	53639
215.17104	53629
215.19247	53630
215.21393	53638
215.23538	53651
215.25684	53638
215.27829	53652
215.29974	53651
215.32118	53656
215.34264	53655
215.36409	53664
215.38554	53652
215.40698	53668
215.42844	53668
215.44989	53663
215.47134	53658
215.49278	53673
215.51424	53675
215.53569	53667
215.55713	53667
215.57858	53662
215.60004	53676
215.62148	53665
