Date and Time:                Mon Oct 10 15:33:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              235
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



213.13235	10875
213.15382	10357
213.17529	10339
213.19676	10356
213.21823	10356
213.23969	10416
213.26115	10429
213.28262	10422
213.30409	10390
213.32556	10387
213.34703	10338
213.36848	10324
213.38995	10280
213.41142	10322
213.43289	10340
213.45435	10373
213.47581	10377
213.49728	10366
213.51874	10380
213.54021	10394
213.56168	10378
213.58315	10344
213.6046	10397
213.62607	10396
213.64752	10404
213.66899	10431
213.69046	10405
213.71191	10477
213.73338	10450
213.75485	10359
213.77631	10408
213.79778	10380
213.81923	10415
213.8407	10356
213.86215	10370
213.88362	10362
213.90508	10406
213.92654	10461
213.948	10430
213.96947	10401
213.99092	10412
214.01239	10360
214.03384	10360
214.05531	10338
214.07677	10385
214.09824	10387
214.11969	10435
214.14114	10365
214.16261	10440
214.18407	10401
214.20552	10453
214.22699	10420
214.24844	10413
214.2699	10382
214.29137	10403
214.31282	10429
214.33427	10420
214.35574	10457
214.3772	10480
214.39865	10475
214.4201	10448
214.44157	10408
214.46303	10436
214.48448	10358
214.50594	10389
214.5274	10362
214.54886	10411
214.57031	10347
214.59177	10299
214.61322	10286
214.63467	10270
214.65614	10296
214.6776	10313
214.69905	10355
214.7205	10313
214.74196	10298
214.76341	10286
214.78487	10281
214.80632	10280
214.82777	10340
214.84923	10298
214.87068	10289
214.89214	10318
214.91359	10319
214.93504	10303
214.9565	10358
214.97795	10401
214.9994	10352
215.02086	10351
215.04231	10382
215.06377	10338
215.08522	10344
215.10667	10365
215.12813	10334
215.14958	10390
215.17104	10408
215.19247	10367
215.21393	10336
215.23538	10365
215.25684	10430
215.27829	10375
215.29974	10418
215.32118	10427
215.34264	10408
215.36409	10437
215.38554	10427
215.40698	10519
215.42844	10502
215.44989	10513
215.47134	10471
215.49278	10450
215.51424	10406
215.53569	10420
215.55713	10443
215.57858	10476
215.60004	10442
215.62148	10424
