Date and Time:                Tue Jan 31 14:40:36.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	319
192.05646	315
192.078	316
192.09956	321
192.12112	321
192.14268	317
192.16425	314
192.18581	321
192.20735	314
192.22891	317
192.25047	317
192.27203	315
192.29358	315
192.31514	323
192.3367	320
192.35826	307
192.37981	319
192.40137	311
192.42293	323
192.44449	311
192.46603	323
192.48759	313
192.50916	314
192.5307	318
192.55226	316
192.57381	316
192.59537	316
192.61693	318
192.63847	319
192.66003	316
192.68159	319
192.70314	319
192.7247	312
192.74625	314
192.76781	315
192.78935	319
192.81091	316
192.83246	314
192.85402	318
192.87556	319
192.89713	316
192.91867	323
192.94023	320
192.96178	312
192.98334	321
193.00488	323
193.02643	320
193.04799	314
193.06953	318
193.09109	315
193.11264	314
193.13419	315
193.15575	312
193.17729	318
193.19884	320
193.2204	314
193.24194	321
193.26349	329
193.28505	317
193.30659	318
193.32814	323
193.34969	319
193.37125	315
193.39279	315
193.41434	317
193.43588	316
193.45744	320
193.47899	322
193.50053	318
193.52208	314
193.54362	318
193.56517	318
193.58673	319
193.60828	312
193.62982	319
193.65137	320
193.67291	316
193.69446	319
193.716	322
193.73755	314
193.75909	317
193.78064	317
193.80219	315
193.82375	319
193.84529	309
193.86684	314
193.88838	317
193.90993	323
193.93147	315
193.953	314
193.97455	317
193.99609	315
194.01764	319
194.03918	312
194.06073	315
194.08228	309
194.10382	314
194.12537	318
194.14691	316
194.16846	313
194.18999	314
194.21153	312
194.23308	322
194.25462	323
194.27617	313
194.29771	314
194.31924	314
194.34079	312
194.36234	317
194.38388	324
194.40541	315
194.42696	315
194.4485	313
194.47005	312
194.49158	320
194.51312	320
194.53467	309
194.5562	314
194.57774	311
194.59929	311
194.62082	313
194.64236	308
194.66391	313
194.68544	322
194.70699	313
194.72852	316
194.75006	319
194.77161	312
194.79314	314
194.81468	313
194.83621	315
194.85776	310
194.87929	311
194.90083	316
