Date and Time:                Tue Jan 31 14:16:30.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	571
192.05646	539
192.078	531
192.09956	530
192.12112	536
192.14268	523
192.16425	508
192.18581	503
192.20735	484
192.22891	492
192.25047	494
192.27203	515
192.29358	510
192.31514	503
192.3367	505
192.35826	498
192.37981	511
192.40137	514
192.42293	527
192.44449	493
192.46603	503
192.48759	529
192.50916	531
192.5307	521
192.55226	507
192.57381	506
192.59537	508
192.61693	525
192.63847	513
192.66003	519
192.68159	501
192.70314	492
192.7247	504
192.74625	529
192.76781	537
192.78935	551
192.81091	534
192.83246	533
192.85402	528
192.87556	522
192.89713	507
192.91867	535
192.94023	538
192.96178	538
192.98334	557
193.00488	534
193.02643	522
193.04799	502
193.06953	544
193.09109	543
193.11264	541
193.13419	544
193.15575	546
193.17729	557
193.19884	558
193.2204	538
193.24194	529
193.26349	557
193.28505	540
193.30659	544
193.32814	558
193.34969	537
193.37125	573
193.39279	534
193.41434	548
193.43588	532
193.45744	532
193.47899	538
193.50053	566
193.52208	549
193.54362	546
193.56517	550
193.58673	556
193.60828	547
193.62982	554
193.65137	559
193.67291	552
193.69446	533
193.716	536
193.73755	552
193.75909	533
193.78064	552
193.80219	544
193.82375	546
193.84529	529
193.86684	531
193.88838	544
193.90993	554
193.93147	538
193.953	549
193.97455	543
193.99609	535
194.01764	554
194.03918	556
194.06073	544
194.08228	534
194.10382	570
194.12537	545
194.14691	540
194.16846	542
194.18999	555
194.21153	537
194.23308	539
194.25462	544
194.27617	548
194.29771	547
194.31924	543
194.34079	559
194.36234	558
194.38388	574
194.40541	539
194.42696	551
194.4485	548
194.47005	537
194.49158	532
194.51312	519
194.53467	511
194.5562	539
194.57774	505
194.59929	527
194.62082	529
194.64236	530
194.66391	518
194.68544	528
194.70699	540
194.72852	566
194.75006	543
194.77161	510
194.79314	527
194.81468	564
194.83621	563
194.85776	548
194.87929	512
194.90083	521
