Date and Time:                Tue Jan 31 14:31:15.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	570
192.05646	532
192.078	521
192.09956	519
192.12112	522
192.14268	518
192.16425	505
192.18581	491
192.20735	481
192.22891	485
192.25047	495
192.27203	500
192.29358	500
192.31514	506
192.3367	507
192.35826	492
192.37981	509
192.40137	492
192.42293	526
192.44449	490
192.46603	490
192.48759	511
192.50916	531
192.5307	509
192.55226	499
192.57381	500
192.59537	515
192.61693	519
192.63847	513
192.66003	510
192.68159	486
192.70314	495
192.7247	498
192.74625	533
192.76781	512
192.78935	542
192.81091	529
192.83246	511
192.85402	513
192.87556	519
192.89713	505
192.91867	540
192.94023	527
192.96178	531
192.98334	537
193.00488	529
193.02643	505
193.04799	496
193.06953	522
193.09109	529
193.11264	528
193.13419	537
193.15575	532
193.17729	543
193.19884	534
193.2204	539
193.24194	521
193.26349	555
193.28505	542
193.30659	530
193.32814	534
193.34969	534
193.37125	566
193.39279	532
193.41434	527
193.43588	519
193.45744	529
193.47899	534
193.50053	554
193.52208	543
193.54362	538
193.56517	539
193.58673	559
193.60828	533
193.62982	545
193.65137	549
193.67291	536
193.69446	523
193.716	522
193.73755	525
193.75909	539
193.78064	534
193.80219	525
193.82375	538
193.84529	529
193.86684	535
193.88838	533
193.90993	538
193.93147	535
193.953	545
193.97455	533
193.99609	528
194.01764	541
194.03918	542
194.06073	538
194.08228	531
194.10382	554
194.12537	537
194.14691	541
194.16846	531
194.18999	543
194.21153	525
194.23308	532
194.25462	537
194.27617	539
194.29771	540
194.31924	544
194.34079	539
194.36234	558
194.38388	580
194.40541	535
194.42696	545
194.4485	529
194.47005	526
194.49158	523
194.51312	515
194.53467	512
194.5562	518
194.57774	519
194.59929	515
194.62082	514
194.64236	518
194.66391	510
194.68544	512
194.70699	535
194.72852	555
194.75006	534
194.77161	513
194.79314	515
194.81468	553
194.83621	545
194.85776	537
194.87929	507
194.90083	529
