Date and Time:                Tue Jan 31 14:23:16.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	561
192.05646	551
192.078	533
192.09956	511
192.12112	528
192.14268	529
192.16425	507
192.18581	489
192.20735	480
192.22891	488
192.25047	495
192.27203	514
192.29358	505
192.31514	510
192.3367	498
192.35826	490
192.37981	518
192.40137	510
192.42293	524
192.44449	507
192.46603	492
192.48759	513
192.50916	528
192.5307	513
192.55226	501
192.57381	503
192.59537	509
192.61693	513
192.63847	520
192.66003	519
192.68159	499
192.70314	493
192.7247	502
192.74625	525
192.76781	536
192.78935	547
192.81091	530
192.83246	524
192.85402	512
192.87556	526
192.89713	511
192.91867	547
192.94023	537
192.96178	533
192.98334	556
193.00488	539
193.02643	514
193.04799	504
193.06953	528
193.09109	517
193.11264	540
193.13419	538
193.15575	542
193.17729	554
193.19884	545
193.2204	537
193.24194	523
193.26349	564
193.28505	534
193.30659	526
193.32814	550
193.34969	533
193.37125	566
193.39279	547
193.41434	537
193.43588	533
193.45744	526
193.47899	543
193.50053	556
193.52208	546
193.54362	544
193.56517	543
193.58673	570
193.60828	550
193.62982	556
193.65137	556
193.67291	538
193.69446	527
193.716	527
193.73755	544
193.75909	540
193.78064	542
193.80219	532
193.82375	545
193.84529	530
193.86684	535
193.88838	537
193.90993	558
193.93147	548
193.953	539
193.97455	531
193.99609	543
194.01764	550
194.03918	548
194.06073	539
194.08228	527
194.10382	555
194.12537	533
194.14691	559
194.16846	536
194.18999	544
194.21153	537
194.23308	541
194.25462	543
194.27617	541
194.29771	542
194.31924	546
194.34079	553
194.36234	581
194.38388	567
194.40541	550
194.42696	557
194.4485	542
194.47005	529
194.49158	522
194.51312	519
194.53467	506
194.5562	526
194.57774	513
194.59929	520
194.62082	508
194.64236	535
194.66391	508
194.68544	514
194.70699	531
194.72852	561
194.75006	530
194.77161	503
194.79314	527
194.81468	563
194.83621	545
194.85776	542
194.87929	510
194.90083	526
