Date and Time:                Tue Jan 31 15:18:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



232.22389	451
232.24527	439
232.26665	426
232.28802	434
232.3094	435
232.3308	431
232.35217	424
232.37355	429
232.39493	414
232.41631	419
232.4377	431
232.45908	446
232.48045	426
232.50183	422
232.52321	421
232.54459	421
232.56596	433
232.58734	414
232.60872	440
232.63011	419
232.65149	415
232.67287	428
232.69424	438
232.71562	423
232.737	417
232.75838	429
232.77975	418
232.80113	411
232.82251	401
232.84387	417
232.86525	409
232.88663	417
232.908	415
232.92938	419
232.95076	422
232.97214	426
232.99352	428
233.01489	416
233.03625	426
233.05763	433
233.07901	400
233.10039	418
233.12177	413
233.14314	417
233.16451	421
233.18588	425
233.20726	418
233.22864	401
233.25	425
233.27138	408
233.29276	409
233.31412	417
233.33549	416
233.35687	422
233.37823	425
233.39961	414
233.42099	416
233.44235	446
233.46373	412
233.48511	409
233.50647	420
233.52785	413
233.54921	430
233.57059	403
233.59195	405
233.61333	395
233.6347	404
233.65607	420
233.67744	430
233.69881	413
233.72018	408
233.74155	408
233.76291	432
233.78429	414
233.80565	414
233.82703	422
233.84839	407
233.86977	398
233.89113	399
233.91249	403
233.93387	396
233.95523	414
233.97659	397
233.99797	409
234.01933	402
234.0407	404
234.06207	403
234.08344	404
234.1048	396
234.12617	406
234.14754	409
234.1689	395
234.19026	409
234.21164	399
234.233	386
234.25436	389
234.27573	417
234.29709	408
234.31845	391
234.33983	383
234.36119	391
234.38255	390
234.40392	403
234.42528	393
234.44664	384
234.468	386
234.48936	392
234.51073	399
234.53209	415
234.55345	426
234.57483	393
234.59619	393
234.61755	392
234.63892	392
234.66028	403
234.68163	397
234.70299	386
234.72435	403
234.74571	401
234.76707	407
234.78844	380
234.8098	393
234.83116	396
234.85252	390
234.87389	385
234.89525	409
234.9166	392
234.93796	386
234.95932	388
234.98068	400
235.00204	392
235.02339	390
235.04475	386
235.06612	397
