Date and Time:                Tue Jan 31 15:05:11.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         80
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



232.22389	6857
232.24527	6437
232.26665	6560
232.28802	6531
232.3094	6444
232.3308	6475
232.35217	6546
232.37355	6514
232.39493	6377
232.41631	6366
232.4377	6427
232.45908	6334
232.48045	6170
232.50183	6225
232.52321	6298
232.54459	6305
232.56596	6186
232.58734	6226
232.60872	6321
232.63011	6273
232.65149	6119
232.67287	6196
232.69424	6278
232.71562	6181
232.737	6100
232.75838	6150
232.77975	6214
232.80113	6139
232.82251	6055
232.84387	6111
232.86525	6211
232.88663	6125
232.908	6102
232.92938	6089
232.95076	6153
232.97214	6084
232.99352	6019
233.01489	6105
233.03625	6165
233.05763	6061
233.07901	5983
233.10039	6041
233.12177	6033
233.14314	5951
233.16451	5910
233.18588	5979
233.20726	6030
233.22864	5928
233.25	5896
233.27138	5944
233.29276	5963
233.31412	5866
233.33549	5843
233.35687	5974
233.37823	5986
233.39961	5871
233.42099	5819
233.44235	5940
233.46373	5930
233.48511	5842
233.50647	5836
233.52785	5869
233.54921	5942
233.57059	5850
233.59195	5776
233.61333	5815
233.6347	5785
233.65607	5724
233.67744	5673
233.69881	5702
233.72018	5701
233.74155	5595
233.76291	5616
233.78429	5653
233.80565	5669
233.82703	5552
233.84839	5518
233.86977	5582
233.89113	5586
233.91249	5516
233.93387	5481
233.95523	5567
233.97659	5598
233.99797	5515
234.01933	5502
234.0407	5607
234.06207	5600
234.08344	5480
234.1048	5455
234.12617	5533
234.14754	5507
234.1689	5445
234.19026	5407
234.21164	5463
234.233	5422
234.25436	5351
234.27573	5379
234.29709	5437
234.31845	5447
234.33983	5362
234.36119	5351
234.38255	5402
234.40392	5388
234.42528	5328
234.44664	5303
234.468	5414
234.48936	5452
234.51073	5370
234.53209	5354
234.55345	5432
234.57483	5384
234.59619	5312
234.61755	5257
234.63892	5340
234.66028	5398
234.68163	5271
234.70299	5241
