Date and Time:                Tue Jan 31 15:16:20.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              254
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



232.22389	4996
232.24527	4754
232.26665	4765
232.28802	4768
232.3094	4753
232.3308	4799
232.35217	4792
232.37355	4779
232.39493	4739
232.41631	4770
232.4377	4738
232.45908	4701
232.48045	4665
232.50183	4716
232.52321	4729
232.54459	4698
232.56596	4723
232.58734	4737
232.60872	4698
232.63011	4750
232.65149	4734
232.67287	4730
232.69424	4722
232.71562	4737
232.737	4715
232.75838	4739
232.77975	4702
232.80113	4746
232.82251	4715
232.84387	4753
232.86525	4768
232.88663	4746
232.908	4783
232.92938	4779
232.95076	4765
232.97214	4773
232.99352	4795
233.01489	4792
233.03625	4799
233.05763	4791
233.07901	4765
233.10039	4804
233.12177	4752
233.14314	4771
233.16451	4731
233.18588	4772
233.20726	4773
233.22864	4771
233.25	4824
233.27138	4801
233.29276	4799
233.31412	4792
233.33549	4813
233.35687	4788
233.37823	4850
233.39961	4801
233.42099	4783
233.44235	4858
233.46373	4832
233.48511	4864
233.50647	4867
233.52785	4869
233.54921	4852
233.57059	4849
233.59195	4857
233.61333	4833
233.6347	4854
233.65607	4825
233.67744	4802
233.69881	4776
233.72018	4768
233.74155	4766
233.76291	4778
233.78429	4802
233.80565	4806
233.82703	4764
233.84839	4783
233.86977	4769
233.89113	4768
233.91249	4773
233.93387	4788
233.95523	4797
233.97659	4844
233.99797	4825
234.01933	4843
234.0407	4876
234.06207	4878
234.08344	4848
234.1048	4859
234.12617	4853
234.14754	4858
234.1689	4852
234.19026	4864
234.21164	4856
234.233	4818
234.25436	4852
234.27573	4820
234.29709	4846
234.31845	4902
234.33983	4925
234.36119	4926
234.38255	4855
234.40392	4878
234.42528	4877
234.44664	4928
234.468	4944
234.48936	4953
234.51073	5002
234.53209	4899
234.55345	4935
234.57483	4961
234.59619	4899
234.61755	4905
234.63892	4950
234.66028	5009
234.68163	4950
234.70299	4973
