Date and Time:                Wed Oct 26 15:20:44.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         75
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	417
192.05646	409
192.078	397
192.09956	401
192.12112	411
192.14268	401
192.16425	397
192.18581	398
192.20735	387
192.22891	397
192.25047	395
192.27203	408
192.29358	406
192.31514	387
192.3367	392
192.35826	394
192.37981	405
192.40137	394
192.42293	413
192.44449	394
192.46603	398
192.48759	389
192.50916	398
192.5307	394
192.55226	385
192.57381	405
192.59537	387
192.61693	392
192.63847	383
192.66003	387
192.68159	378
192.70314	391
192.7247	379
192.74625	391
192.76781	394
192.78935	406
192.81091	393
192.83246	393
192.85402	401
192.87556	402
192.89713	385
192.91867	397
192.94023	382
192.96178	387
192.98334	398
193.00488	395
193.02643	386
193.04799	375
193.06953	393
193.09109	384
193.11264	386
193.13419	385
193.15575	385
193.17729	396
193.19884	396
193.2204	391
193.24194	392
193.26349	420
193.28505	387
193.30659	373
193.32814	393
193.34969	381
193.37125	417
193.39279	385
193.41434	384
193.43588	371
193.45744	388
193.47899	385
193.50053	399
193.52208	388
193.54362	382
193.56517	388
193.58673	406
193.60828	380
193.62982	394
193.65137	397
193.67291	385
193.69446	371
193.716	378
193.73755	387
193.75909	378
193.78064	389
193.80219	373
193.82375	387
193.84529	373
193.86684	384
193.88838	378
193.90993	390
193.93147	381
193.953	385
193.97455	379
193.99609	375
194.01764	379
194.03918	384
194.06073	375
194.08228	374
194.10382	393
194.12537	382
194.14691	373
194.16846	374
194.18999	372
194.21153	365
194.23308	369
194.25462	373
194.27617	363
194.29771	368
194.31924	371
194.34079	379
194.36234	391
194.38388	403
194.40541	364
194.42696	369
194.4485	375
194.47005	371
194.49158	383
194.51312	377
194.53467	371
194.5562	387
194.57774	371
194.59929	384
194.62082	361
194.64236	376
194.66391	509
194.68544	370
194.70699	371
194.72852	391
194.75006	379
194.77161	373
194.79314	371
194.81468	393
194.83621	368
194.85776	368
194.87929	358
194.90083	372
