Date and Time:                Wed Oct 26 12:49:41.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         70
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	442
192.05646	428
192.078	421
192.09956	419
192.12112	422
192.14268	428
192.16425	413
192.18581	419
192.20735	411
192.22891	413
192.25047	420
192.27203	432
192.29358	421
192.31514	418
192.3367	421
192.35826	412
192.37981	422
192.40137	412
192.42293	435
192.44449	415
192.46603	416
192.48759	410
192.50916	418
192.5307	416
192.55226	402
192.57381	423
192.59537	415
192.61693	410
192.63847	397
192.66003	408
192.68159	405
192.70314	403
192.7247	408
192.74625	416
192.76781	420
192.78935	422
192.81091	409
192.83246	415
192.85402	409
192.87556	426
192.89713	402
192.91867	415
192.94023	399
192.96178	400
192.98334	420
193.00488	420
193.02643	404
193.04799	398
193.06953	418
193.09109	410
193.11264	406
193.13419	408
193.15575	411
193.17729	414
193.19884	415
193.2204	417
193.24194	421
193.26349	443
193.28505	406
193.30659	406
193.32814	401
193.34969	398
193.37125	425
193.39279	403
193.41434	409
193.43588	391
193.45744	407
193.47899	405
193.50053	418
193.52208	409
193.54362	394
193.56517	405
193.58673	422
193.60828	399
193.62982	407
193.65137	420
193.67291	402
193.69446	394
193.716	402
193.73755	410
193.75909	394
193.78064	412
193.80219	393
193.82375	405
193.84529	387
193.86684	396
193.88838	391
193.90993	400
193.93147	398
193.953	404
193.97455	397
193.99609	391
194.01764	414
194.03918	394
194.06073	389
194.08228	398
194.10382	405
194.12537	387
194.14691	389
194.16846	395
194.18999	393
194.21153	383
194.23308	389
194.25462	392
194.27617	394
194.29771	391
194.31924	398
194.34079	394
194.36234	410
194.38388	419
194.40541	386
194.42696	391
194.4485	389
194.47005	387
194.49158	398
194.51312	388
194.53467	391
194.5562	401
194.57774	401
194.59929	396
194.62082	387
194.64236	384
194.66391	389
194.68544	388
194.70699	387
194.72852	400
194.75006	390
194.77161	391
194.79314	390
194.81468	400
194.83621	393
194.85776	388
194.87929	387
194.90083	394
