Date and Time:                Wed Oct 26 16:16:25.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         8.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	313
192.05646	315
192.078	320
192.09956	316
192.12112	310
192.14268	317
192.16425	315
192.18581	312
192.20735	305
192.22891	314
192.25047	309
192.27203	319
192.29358	316
192.31514	311
192.3367	309
192.35826	310
192.37981	306
192.40137	311
192.42293	314
192.44449	311
192.46603	313
192.48759	317
192.50916	311
192.5307	314
192.55226	309
192.57381	313
192.59537	308
192.61693	307
192.63847	309
192.66003	313
192.68159	318
192.70314	313
192.7247	316
192.74625	307
192.76781	317
192.78935	322
192.81091	310
192.83246	309
192.85402	312
192.87556	315
192.89713	311
192.91867	315
192.94023	307
192.96178	310
192.98334	315
193.00488	309
193.02643	314
193.04799	311
193.06953	313
193.09109	306
193.11264	310
193.13419	311
193.15575	314
193.17729	308
193.19884	311
193.2204	308
193.24194	312
193.26349	311
193.28505	305
193.30659	317
193.32814	312
193.34969	312
193.37125	309
193.39279	307
193.41434	310
193.43588	308
193.45744	311
193.47899	307
193.50053	308
193.52208	316
193.54362	314
193.56517	313
193.58673	310
193.60828	311
193.62982	317
193.65137	308
193.67291	303
193.69446	306
193.716	311
193.73755	312
193.75909	311
193.78064	306
193.80219	317
193.82375	309
193.84529	316
193.86684	305
193.88838	310
193.90993	309
193.93147	312
193.953	313
193.97455	305
193.99609	311
194.01764	315
194.03918	308
194.06073	316
194.08228	313
194.10382	312
194.12537	309
194.14691	309
194.16846	315
194.18999	310
194.21153	310
194.23308	304
194.25462	311
194.27617	306
194.29771	311
194.31924	312
194.34079	314
194.36234	308
194.38388	312
194.40541	307
194.42696	313
194.4485	314
194.47005	308
194.49158	309
194.51312	309
194.53467	310
194.5562	307
194.57774	319
194.59929	317
194.62082	309
194.64236	309
194.66391	304
194.68544	304
194.70699	311
194.72852	308
194.75006	309
194.77161	311
194.79314	304
194.81468	311
194.83621	309
194.85776	307
194.87929	307
194.90083	310
