Date and Time:                Wed Oct 26 16:09:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         85
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	515
192.05646	505
192.078	488
192.09956	488
192.12112	498
192.14268	494
192.16425	471
192.18581	458
192.20735	443
192.22891	462
192.25047	459
192.27203	479
192.29358	466
192.31514	468
192.3367	458
192.35826	457
192.37981	477
192.40137	459
192.42293	492
192.44449	448
192.46603	460
192.48759	474
192.50916	499
192.5307	480
192.55226	457
192.57381	467
192.59537	471
192.61693	477
192.63847	475
192.66003	472
192.68159	464
192.70314	450
192.7247	466
192.74625	487
192.76781	489
192.78935	503
192.81091	498
192.83246	492
192.85402	476
192.87556	485
192.89713	474
192.91867	502
192.94023	495
192.96178	498
192.98334	516
193.00488	497
193.02643	476
193.04799	471
193.06953	501
193.09109	492
193.11264	502
193.13419	501
193.15575	498
193.17729	512
193.19884	508
193.2204	497
193.24194	486
193.26349	523
193.28505	495
193.30659	494
193.32814	518
193.34969	501
193.37125	534
193.39279	503
193.41434	511
193.43588	486
193.45744	501
193.47899	506
193.50053	517
193.52208	512
193.54362	513
193.56517	506
193.58673	537
193.60828	510
193.62982	526
193.65137	518
193.67291	507
193.69446	495
193.716	504
193.73755	499
193.75909	498
193.78064	501
193.80219	500
193.82375	499
193.84529	502
193.86684	508
193.88838	499
193.90993	516
193.93147	498
193.953	503
193.97455	494
193.99609	505
194.01764	514
194.03918	513
194.06073	517
194.08228	503
194.10382	523
194.12537	518
194.14691	506
194.16846	512
194.18999	514
194.21153	508
194.23308	508
194.25462	517
194.27617	509
194.29771	510
194.31924	510
194.34079	520
194.36234	520
194.38388	550
194.40541	497
194.42696	506
194.4485	517
194.47005	500
194.49158	501
194.51312	487
194.53467	474
194.5562	491
194.57774	493
194.59929	491
194.62082	487
194.64236	493
194.66391	484
194.68544	490
194.70699	506
194.72852	534
194.75006	499
194.77161	469
194.79314	488
194.81468	530
194.83621	516
194.85776	510
194.87929	480
194.90083	490
