Date and Time:                Wed Oct 26 12:48:10.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         70
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	533
192.05646	523
192.078	506
192.09956	504
192.12112	509
192.14268	504
192.16425	491
192.18581	485
192.20735	465
192.22891	475
192.25047	484
192.27203	482
192.29358	480
192.31514	482
192.3367	481
192.35826	474
192.37981	486
192.40137	485
192.42293	513
192.44449	480
192.46603	476
192.48759	489
192.50916	510
192.5307	502
192.55226	492
192.57381	480
192.59537	483
192.61693	493
192.63847	490
192.66003	495
192.68159	486
192.70314	480
192.7247	486
192.74625	500
192.76781	508
192.78935	520
192.81091	514
192.83246	510
192.85402	504
192.87556	500
192.89713	489
192.91867	516
192.94023	507
192.96178	520
192.98334	529
193.00488	509
193.02643	509
193.04799	478
193.06953	502
193.09109	500
193.11264	514
193.13419	515
193.15575	520
193.17729	528
193.19884	524
193.2204	518
193.24194	505
193.26349	530
193.28505	512
193.30659	520
193.32814	523
193.34969	519
193.37125	546
193.39279	514
193.41434	517
193.43588	509
193.45744	516
193.47899	514
193.50053	537
193.52208	525
193.54362	518
193.56517	521
193.58673	542
193.60828	518
193.62982	539
193.65137	541
193.67291	528
193.69446	513
193.716	518
193.73755	522
193.75909	517
193.78064	520
193.80219	515
193.82375	521
193.84529	521
193.86684	515
193.88838	522
193.90993	532
193.93147	535
193.953	518
193.97455	521
193.99609	517
194.01764	532
194.03918	535
194.06073	523
194.08228	520
194.10382	537
194.12537	531
194.14691	530
194.16846	520
194.18999	525
194.21153	515
194.23308	524
194.25462	528
194.27617	521
194.29771	525
194.31924	528
194.34079	538
194.36234	548
194.38388	541
194.40541	515
194.42696	524
194.4485	543
194.47005	529
194.49158	520
194.51312	498
194.53467	486
194.5562	501
194.57774	503
194.59929	504
194.62082	494
194.64236	504
194.66391	504
194.68544	498
194.70699	510
194.72852	548
194.75006	523
194.77161	498
194.79314	500
194.81468	530
194.83621	537
194.85776	527
194.87929	493
194.90083	518
