Date and Time:                Wed Oct 26 16:15:49.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         8.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              214
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



192.0349	10215
192.05646	9689
192.078	9090
192.09956	8193
192.12112	8327
192.14268	8356
192.16425	6657
192.18581	4824
192.20735	4317
192.22891	4295
192.25047	4765
192.27203	4437
192.29358	4935
192.31514	6285
192.3367	5693
192.35826	4661
192.37981	5768
192.40137	7006
192.42293	6492
192.44449	5008
192.46603	5244
192.48759	7394
192.50916	8675
192.5307	8353
192.55226	6461
192.57381	5097
192.59537	6520
192.61693	8483
192.63847	9449
192.66003	9392
192.68159	7934
192.70314	5908
192.7247	6350
192.74625	8600
192.76781	9914
192.78935	10210
192.81091	9865
192.83246	8974
192.85402	7290
192.87556	6707
192.89713	8643
192.91867	10225
192.94023	10674
192.96178	10815
192.98334	10718
193.00488	10238
193.02643	8745
193.04799	7543
193.06953	8608
193.09109	10353
193.11264	11052
193.13419	11200
193.15575	11280
193.17729	11294
193.19884	11021
193.2204	10092
193.24194	9029
193.26349	9266
193.28505	10593
193.30659	11244
193.32814	11419
193.34969	11550
193.37125	11621
193.39279	11526
193.41434	11415
193.43588	10932
193.45744	10153
193.47899	9970
193.50053	10796
193.52208	11431
193.54362	11603
193.56517	11686
193.58673	11703
193.60828	11749
193.62982	11717
193.65137	11637
193.67291	11166
193.69446	10395
193.716	10024
193.73755	10396
193.75909	11144
193.78064	10985
193.80219	10908
193.82375	11461
193.84529	11414
193.86684	10980
193.88838	11169
193.90993	11783
193.93147	11827
193.953	11253
193.97455	10584
193.99609	11145
194.01764	11793
194.03918	12063
194.06073	12028
194.08228	11660
194.10382	11406
194.12537	11964
194.14691	12227
194.16846	12250
194.18999	12210
194.21153	12034
194.23308	11532
194.25462	11500
194.27617	11946
194.29771	12163
194.31924	12346
194.34079	12381
194.36234	12349
194.38388	12140
194.40541	11809
194.42696	11879
194.4485	12036
194.47005	11364
194.49158	9528
194.51312	8506
194.53467	8271
