Date and Time:                Thu Sep 8 17:16:44.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	296
255.36023	305
255.38152	303
255.40279	301
255.42406	307
255.44533	302
255.4666	303
255.48787	302
255.50914	303
255.53041	300
255.55168	299
255.57295	303
255.59422	300
255.61549	300
255.63676	302
255.65805	302
255.67931	304
255.70058	298
255.72185	303
255.74312	302
255.76439	306
255.78566	301
255.80693	309
255.8282	300
255.84947	307
255.87074	304
255.89201	297
255.91328	303
255.93454	304
255.95581	307
255.97708	302
255.99835	299
256.01962	302
256.04089	295
256.06216	306
256.08344	298
256.10468	302
256.12595	300
256.14722	300
256.16849	302
256.18976	304
256.21103	304
256.2323	304
256.25354	303
256.27481	309
256.29608	306
256.31735	295
256.33862	303
256.35986	302
256.38113	302
256.4024	301
256.42368	304
256.44495	307
256.46619	299
256.48746	300
256.50873	303
256.53	300
256.55124	303
256.57251	299
256.59378	304
256.61505	300
256.63629	302
256.65756	302
256.67883	302
256.7001	302
256.72134	296
256.74261	289
256.76389	303
256.78513	298
256.8064	304
256.82767	304
256.84891	300
256.87018	298
256.89145	297
256.91269	300
256.93396	296
256.95523	304
256.97647	300
256.99774	296
257.01901	305
257.04025	296
257.06152	297
257.08276	297
257.10403	303
257.12531	303
257.14655	302
257.16782	302
257.18906	297
257.21033	295
257.23157	302
257.25284	299
257.27411	303
257.29535	306
257.31662	294
257.33786	303
257.35913	302
257.38037	297
257.40164	305
257.42288	296
257.44415	303
257.46539	303
257.48666	303
257.5079	298
257.52917	297
257.55042	303
257.57169	308
257.59293	301
257.6142	303
257.63544	295
257.65668	305
257.67795	304
257.69919	300
257.72046	303
257.7417	299
257.76297	300
257.78421	301
257.80545	306
257.82672	306
257.84796	302
257.86923	300
257.89047	305
257.91171	302
257.93298	301
257.95422	302
257.97546	302
257.99673	303
258.01797	301
258.03922	302
258.06049	299
258.08173	302
258.10297	297
258.12424	303
258.14548	306
