Date and Time:                Thu Sep 8 16:59:28.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	304
255.36023	302
255.38152	307
255.40279	313
255.42406	307
255.44533	305
255.4666	311
255.48787	311
255.50914	307
255.53041	308
255.55168	306
255.57295	312
255.59422	305
255.61549	310
255.63676	305
255.65805	308
255.67931	309
255.70058	303
255.72185	310
255.74312	305
255.76439	307
255.78566	314
255.80693	315
255.8282	300
255.84947	310
255.87074	308
255.89201	309
255.91328	304
255.93454	306
255.95581	303
255.97708	303
255.99835	307
256.01962	314
256.04089	309
256.06216	303
256.08344	310
256.10468	305
256.12595	305
256.14722	306
256.16849	306
256.18976	305
256.21103	314
256.2323	306
256.25354	304
256.27481	305
256.29608	314
256.31735	309
256.33862	307
256.35986	314
256.38113	302
256.4024	307
256.42368	304
256.44495	305
256.46619	304
256.48746	306
256.50873	312
256.53	311
256.55124	311
256.57251	310
256.59378	303
256.61505	310
256.63629	302
256.65756	310
256.67883	305
256.7001	306
256.72134	309
256.74261	310
256.76389	304
256.78513	308
256.8064	307
256.82767	309
256.84891	306
256.87018	306
256.89145	308
256.91269	306
256.93396	300
256.95523	307
256.97647	300
256.99774	301
257.01901	305
257.04025	300
257.06152	310
257.08276	302
257.10403	304
257.12531	309
257.14655	305
257.16782	310
257.18906	302
257.21033	308
257.23157	303
257.25284	305
257.27411	303
257.29535	306
257.31662	307
257.33786	303
257.35913	308
257.38037	316
257.40164	309
257.42288	308
257.44415	308
257.46539	308
257.48666	306
257.5079	302
257.52917	306
257.55042	309
257.57169	308
257.59293	301
257.6142	307
257.63544	308
257.65668	308
257.67795	303
257.69919	305
257.72046	309
257.7417	311
257.76297	305
257.78421	302
257.80545	300
257.82672	309
257.84796	302
257.86923	304
257.89047	302
257.91171	305
257.93298	302
257.95422	310
257.97546	311
257.99673	310
258.01797	310
258.03922	310
258.06049	304
258.08173	306
258.10297	304
258.12424	304
258.14548	307
