Date and Time:                Thu Sep 8 16:58:50.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              277
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



255.33896	314
255.36023	304
255.38152	304
255.40279	310
255.42406	311
255.44533	311
255.4666	303
255.48787	308
255.50914	306
255.53041	304
255.55168	304
255.57295	308
255.59422	310
255.61549	305
255.63676	305
255.65805	310
255.67931	309
255.70058	308
255.72185	306
255.74312	307
255.76439	304
255.78566	306
255.80693	309
255.8282	307
255.84947	308
255.87074	308
255.89201	307
255.91328	301
255.93454	314
255.95581	308
255.97708	307
255.99835	307
256.01962	306
256.04089	307
256.06216	309
256.08344	308
256.10468	301
256.12595	315
256.14722	308
256.16849	310
256.18976	308
256.21103	311
256.2323	304
256.25354	305
256.27481	310
256.29608	308
256.31735	311
256.33862	307
256.35986	306
256.38113	308
256.4024	302
256.42368	306
256.44495	303
256.46619	305
256.48746	309
256.50873	312
256.53	307
256.55124	303
256.57251	311
256.59378	307
256.61505	304
256.63629	303
256.65756	304
256.67883	311
256.7001	304
256.72134	303
256.74261	314
256.76389	312
256.78513	309
256.8064	312
256.82767	305
256.84891	306
256.87018	308
256.89145	306
256.91269	305
256.93396	302
256.95523	305
256.97647	308
256.99774	304
257.01901	306
257.04025	316
257.06152	305
257.08276	305
257.10403	302
257.12531	305
257.14655	309
257.16782	307
257.18906	305
257.21033	307
257.23157	309
257.25284	304
257.27411	313
257.29535	305
257.31662	310
257.33786	311
257.35913	304
257.38037	304
257.40164	309
257.42288	308
257.44415	299
257.46539	306
257.48666	304
257.5079	307
257.52917	307
257.55042	306
257.57169	305
257.59293	308
257.6142	303
257.63544	304
257.65668	310
257.67795	305
257.69919	302
257.72046	308
257.7417	298
257.76297	300
257.78421	306
257.80545	302
257.82672	304
257.84796	307
257.86923	303
257.89047	304
257.91171	306
257.93298	305
257.95422	304
257.97546	303
257.99673	303
258.01797	307
258.03922	307
258.06049	305
258.08173	308
258.10297	307
258.12424	307
258.14548	307
